,ExtCondensTurbineOP.hp_steam_machine_opt,ExtCondensTurbineOP.lp_steam_machine_opt,ExtCondensTurbineOP.electricity_machine_opt
2020-08-17 00:05:00,72.29999999985483,22.475004602434794,9.664830778362546
2020-08-17 00:13:00,68.04960371758897,21.69833702934183,9.330000764021367
2020-08-17 00:21:00,69.4466666673535,23.168336008890332,9.279857817112926
2020-08-17 00:29:00,70.12333333372868,22.364995397557824,9.372372555031394
2020-08-17 00:37:00,68.56999999993013,22.37833333333506,9.23267833331651
2020-08-17 00:45:00,72.66333333319771,25.908327979870897,9.368096033186243
2020-08-17 00:53:00,70.08771186662057,24.043333333334783,9.188333333331276
2020-08-17 01:01:00,69.39000000019618,23.055004602425157,9.136584111778298
2020-08-17 01:09:00,70.10057147687915,22.704987094459348,9.251669025979606
2020-08-17 01:17:00,67.0195624155593,20.090006220799705,9.229998862791055
2020-08-17 01:25:00,66.86999999986867,19.269995397573048,9.230000888237493
2020-08-17 01:33:00,70.84999999996901,21.890000000000782,9.639139999992539
2020-08-17 01:41:00,70.51999999926983,22.479995397591093,9.440000888092689
2020-08-17 01:49:00,69.32999999994475,20.590000000001805,9.554029999986614
2020-08-17 01:57:00,68.59084772652307,20.1800062208002,9.659998862845075
2020-08-17 02:05:00,68.70557936493738,20.780006220791087,9.416665529512612
2020-08-17 02:13:00,72.30999999982474,23.169995397574077,9.444570888226927
2020-08-17 02:21:00,72.94000000005242,24.386669334569522,9.516092818440454
2020-08-17 02:29:00,71.84386299418341,25.898333333338723,9.00333333329291
2020-08-17 02:37:00,69.12000000018739,23.59833793575879,8.92208077844283
2020-08-17 02:45:00,68.42482356983821,23.181669543310207,8.851666140623015
2020-08-17 02:53:00,70.99451976432202,25.016666447819134,9.07666670661764
2020-08-17 03:01:00,68.53333333376655,23.758333333320472,8.90587833343805
2020-08-17 03:09:00,71.41601473597933,26.898544822170997,8.970666993678787
2020-08-17 03:17:00,71.59714716136484,26.580006220797898,8.986665529468178
2020-08-17 03:25:00,72.86999999948155,26.76078446706276,9.2688552644012
2020-08-17 03:33:00,71.56333333371686,23.808328730890477,9.348812555028736
2020-08-17 03:41:00,71.10346342823138,27.09941448262821,8.932993707248693
2020-08-17 03:49:00,69.44000000024424,23.683336005441756,9.080826151007383
2020-08-17 03:57:00,69.29333333282334,24.12000460244354,9.031582444941424
2020-08-17 04:05:00,70.12666666675071,23.46667126909703,9.121295778417492
2020-08-17 04:13:00,72.4499016772691,26.440012690506418,9.254997679901175
2020-08-17 04:21:00,71.62999999958839,25.909995397583177,9.200000888169393
2020-08-17 04:29:00,71.01203389804712,23.93000000000772,9.28499999993763
2020-08-17 04:37:00,69.27999999986866,22.68999539757305,9.020000888237494
2020-08-17 04:45:00,68.61071992393278,22.649990387269114,9.030001757305312
2020-08-17 04:53:00,70.96999999979671,26.61500460243516,8.94289411168209
2020-08-17 05:01:00,71.13939198142839,26.65499407153757,8.980002651810464
2020-08-17 05:09:00,71.35712228118845,24.760006368781276,9.059999629185757
2020-08-17 05:17:00,68.96000000047553,22.015004602415853,9.220444111846017
2020-08-17 05:25:00,66.93728840410088,20.89667288747075,9.098332196086025
2020-08-17 05:33:00,70.54666666682563,22.769995397564507,9.360000888307649
2020-08-17 05:41:00,70.09305764104553,23.014993779197155,9.345001137235146
2020-08-17 05:49:00,68.26333333382436,20.361662064222642,9.464075888387663
2020-08-17 05:57:00,69.4633333339698,21.18833333331444,9.485995000153856
2020-08-17 06:05:00,67.4700000002256,20.431664736303084,9.247698705946828
2020-08-17 06:13:00,70.3058266601436,23.06665340618256,9.310000984400958
2020-08-17 06:21:00,68.8143001876351,22.500006992961374,9.180000161307015
2020-08-17 06:29:00,70.4899999998697,22.4916666666703,9.466644999968546
2020-08-17 06:37:00,68.03237302985505,21.74000344620259,9.17999936992869
2020-08-17 06:45:00,68.93755649717511,21.480000000000036,9.356666666666653
2020-08-17 06:53:00,66.44017186594452,16.799990518955163,9.25500239020468
2020-08-17 07:01:00,65.96999999965108,18.74999539757967,9.400000888184863
2020-08-17 07:09:00,68.69305057888684,20.299993779197507,9.455001137232292
2020-08-17 07:17:00,70.7689890172246,22.659996881466373,9.390002009941998
2020-08-17 07:25:00,68.9699999999114,21.03000000000231,9.397729999978646
2020-08-17 07:33:00,68.12016936930922,20.159997161866006,9.36500051891695
2020-08-17 07:41:00,66.87254278715585,19.630009595015895,9.164998245930784
2020-08-17 07:49:00,68.38355959017103,21.09000622081555,9.094998862663033
2020-08-17 07:57:00,69.04424313202136,22.539994047583534,9.28000252797354
2020-08-17 08:05:00,79.99999999999932,27.249411129825134,10.676373651943589
2020-08-17 08:13:00,80.00000000000732,19.380000000001015,11.476910000001533
2020-08-17 08:21:00,80.00000000000459,22.330000000000524,10.959170000000984
2020-08-17 08:29:00,78.28,18.48,11.62
2020-08-17 08:37:00,79.44333333333333,19.73333333333333,11.713333333333333
2020-08-17 08:45:00,78.66666666666667,19.626666666666665,11.526666666666666
2020-08-17 08:53:00,77.79666666666667,19.05666666666667,11.450000000000001
2020-08-17 09:01:00,78.33,19.22,11.31
2020-08-17 09:09:00,76.05,17.66,11.41
2020-08-17 09:17:00,81.71,18.95,11.97
2020-08-17 09:25:00,76.06,17.5,11.38
2020-08-17 09:33:00,79.98,18.95,11.59
2020-08-17 09:41:00,78.03,18.94,11.39
2020-08-17 09:49:00,79.0,19.74,11.45
2020-08-17 09:57:00,76.78,18.64,11.25
2020-08-17 10:05:00,76.79,18.27,11.27
2020-08-17 10:13:00,76.33,19.16,11.23
