,ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_pressure_in,ExtCondensTurbineOP.steam_temperature_in,ExtCondensTurbineOP.electricity_generation,ExtCondensTurbineOP.steam_pressure_out,ExtCondensTurbineOP.steam_temperature_out,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.steam_pressure_side,ExtCondensTurbineOP.steam_temperature_side,ExtCondensTurbineOP.machine_status,ExtCondensTurbineOP.MainSteam_Inlet_FlowrateMass_Accumulated,ExtCondensTurbineOP.SteamTurbine_RotatorySpeed,ExtCondensTurbineOP.steam_pressure_2ndside,ExtCondensTurbineOP.steam_temperature_2ndside,ExtCondensTurbineOP.steam_pressure_3rdside,ExtCondensTurbineOP.steam_temperature_3rdside,ExtCondensTurbineOP.condensate_totalcondenser_flowrate,ExtCondensTurbineOP.BFW_lowheater_temperature,ExtCondensTurbineOP.BFW_deaerator_temperature,ExtCondensTurbineOP.BFW_highheater_temperature
2020-08-17 00:00:00,81.7775,3.051666666666667,432.38916666666665,11.825833333333334,-87.56833333333333,50.173333333333325,23.398333333333337,0.8266666666666668,329.40333333333336,1.0,34749.17833333334,2990.499166666667,0.15749999999999997,216.19666666666672,-0.09999999999999999,113.66833333333335,37.745,81.98750000000001,106.38916666666665,151.8775
2020-08-17 00:01:00,82.25083333333333,3.049166666666667,432.16083333333336,11.906666666666665,-87.55666666666666,50.203333333333326,23.543333333333333,0.8283333333333335,329.19083333333333,1.0,34750.534999999996,2989.2274999999995,0.16166666666666665,216.04166666666666,-0.09999999999999999,113.59583333333335,38.17000000000001,82.06666666666668,106.41666666666667,151.99916666666667
2020-08-17 00:02:00,83.3625,3.034166666666667,431.94166666666666,12.015,-87.57083333333334,50.27333333333333,23.674166666666668,0.8333333333333334,329.3191666666666,1.0,34751.90833333333,2983.913333333334,0.1633333333333333,215.9666666666667,-0.09999999999999999,113.5,38.40833333333334,82.27833333333332,106.43166666666669,151.91666666666666
2020-08-17 00:03:00,82.61166666666666,3.026666666666667,431.7183333333333,11.975833333333332,-87.59000000000002,50.37833333333332,23.2975,0.8325,329.39833333333337,1.0,34753.27166666667,2984.2691666666665,0.1633333333333333,215.89083333333338,-0.09999999999999999,113.43499999999999,38.505833333333335,82.42666666666666,106.42000000000002,151.68916666666667
2020-08-17 00:04:00,82.69916666666668,3.0275,431.75916666666666,11.951666666666668,-87.59500000000001,50.45666666666667,23.091666666666665,0.8333333333333334,329.30749999999995,1.0,34754.622500000005,2985.9475,0.1633333333333333,215.8691666666667,-0.09999999999999999,113.36166666666666,38.4975,82.51416666666668,106.42916666666667,151.29583333333335
2020-08-17 00:05:00,82.30333333333333,3.0258333333333343,432.1408333333334,11.936666666666667,-87.60333333333334,50.50749999999999,22.780833333333334,0.8308333333333334,329.2775,1.0,34755.97,2987.7549999999997,0.16166666666666665,215.88916666666668,-0.09999999999999999,113.38750000000003,38.62166666666666,82.5025,106.41083333333331,150.8516666666667
2020-08-17 00:06:00,79.22083333333335,3.0508333333333333,432.88750000000005,11.675833333333332,-87.61749999999999,50.51083333333333,20.87333333333333,0.8158333333333335,329.065,1.0,34757.30583333334,2988.085833333333,0.1583333333333333,215.9041666666667,-0.09999999999999999,113.39333333333336,38.098333333333336,82.45166666666667,106.41916666666667,150.39083333333332
2020-08-17 00:07:00,78.98083333333334,3.063333333333333,434.0933333333333,11.654166666666669,-87.6275,50.47750000000001,20.776666666666667,0.8133333333333336,328.53916666666674,1.0,34758.64,2988.211666666666,0.15499999999999997,215.8741666666667,-0.09999999999999999,113.37416666666665,37.665,82.27666666666666,106.43500000000002,149.79999999999998
2020-08-17 00:08:00,77.01416666666667,3.0908333333333338,435.33500000000004,11.525833333333331,-87.66416666666667,50.396666666666675,20.131666666666668,0.8033333333333333,328.075,1.0,34759.958333333336,2993.370833333334,0.15166666666666664,215.82499999999996,-0.09999999999999999,113.33416666666669,37.15916666666667,82.09583333333335,106.455,149.29166666666666
2020-08-17 00:09:00,77.435,3.114166666666667,436.6000000000001,11.530833333333334,-87.76333333333332,50.26583333333334,20.821666666666662,0.8041666666666667,327.43750000000006,1.0,34761.27833333333,2993.575833333333,0.14999999999999997,215.68333333333337,-0.09999999999999999,113.32583333333332,36.80166666666666,81.84166666666667,106.40833333333335,149.01666666666665
2020-08-17 00:10:00,77.1975,3.1291666666666664,437.64500000000004,11.543333333333331,-87.77916666666665,50.134166666666665,21.04083333333333,0.805,327.0658333333334,1.0,34762.6025,2993.6008333333334,0.14999999999999997,215.54833333333332,-0.09999999999999999,113.26833333333332,36.656666666666666,81.6575,106.39666666666669,149.0925
2020-08-17 00:11:00,77.685,3.1425,438.2224999999999,11.601666666666667,-87.78999999999998,50.031666666666666,21.116666666666667,0.8033333333333333,326.9158333333333,1.0,34763.93416666667,2994.4908333333333,0.14999999999999997,215.4941666666667,-0.09999999999999999,113.22333333333334,36.7375,81.57083333333333,106.3575,149.41416666666666
2020-08-17 00:12:00,77.08666666666667,3.1524999999999994,438.43333333333334,11.561666666666667,-87.81583333333332,49.93583333333333,20.84333333333333,0.8050000000000002,326.8066666666667,1.0,34765.261666666665,2994.5166666666664,0.14999999999999997,215.4375,-0.09999999999999999,113.21250000000003,36.87916666666666,81.51416666666667,106.30499999999996,149.82666666666668
