,ExtCondensTurbineOP.hp_steam_machine_opt_array,ExtCondensTurbineOP.lp_steam_machine_opt_array,ExtCondensTurbineOP.electricity_machine_opt_array
2020-08-17 00:00:00,77.19872881355936,14.733445276881437,12.040105061561892
2020-08-17 00:01:00,77.19872881355936,14.733445276881437,12.040105061561892
2020-08-17 00:02:00,77.19872881355936,14.733445276881437,12.040105061561892
2020-08-17 00:03:00,77.19872881355936,14.733445276881437,12.040105061561892
2020-08-17 00:04:00,77.19872881355936,14.733445276881437,12.040105061561892
2020-08-17 00:05:00,77.19872881355936,14.733445276881437,12.040105061561892
2020-08-17 00:06:00,64.25999999985427,12.714995397573162,9.06816588823407
2020-08-17 00:07:00,64.25999999985427,12.714995397573162,9.06816588823407
2020-08-17 00:08:00,64.25999999985427,12.714995397573162,9.06816588823407
2020-08-17 00:09:00,64.25999999985427,12.714995397573162,9.06816588823407
2020-08-17 00:10:00,64.25999999985427,12.714995397573162,9.06816588823407
2020-08-17 00:11:00,64.25999999985427,12.714995397573162,9.06816588823407
2020-08-17 00:12:00,64.25999999985427,12.714995397573162,9.06816588823407
2020-08-17 00:13:00,64.25999999985427,12.714995397573162,9.06816588823407
2020-08-17 00:14:00,65.71292453093984,14.63166297065933,9.289999235964723
2020-08-17 00:15:00,65.71292453093984,14.63166297065933,9.289999235964723
2020-08-17 00:16:00,65.71292453093984,14.63166297065933,9.289999235964723
2020-08-17 00:17:00,65.71292453093984,14.63166297065933,9.289999235964723
2020-08-17 00:18:00,65.71292453093984,14.63166297065933,9.289999235964723
2020-08-17 00:19:00,65.71292453093984,14.63166297065933,9.289999235964723
2020-08-17 00:20:00,65.71292453093984,14.63166297065933,9.289999235964723
2020-08-17 00:21:00,65.71292453093984,14.63166297065933,9.289999235964723
2020-08-17 00:22:00,65.61000000068353,16.711663991069972,9.209858849884805
2020-08-17 00:23:00,65.61000000068353,16.711663991069972,9.209858849884805
2020-08-17 00:24:00,65.61000000068353,16.711663991069972,9.209858849884805
2020-08-17 00:25:00,65.61000000068353,16.711663991069972,9.209858849884805
2020-08-17 00:26:00,65.61000000068353,16.711663991069972,9.209858849884805
2020-08-17 00:27:00,65.61000000068353,16.711663991069972,9.209858849884805
2020-08-17 00:28:00,65.61000000068353,16.711663991069972,9.209858849884805
2020-08-17 00:29:00,65.61000000068353,16.711663991069972,9.209858849884805
2020-08-17 00:30:00,64.83000000039404,15.755004602419229,9.145704111826134
2020-08-17 00:31:00,64.83000000039404,15.755004602419229,9.145704111826134
2020-08-17 00:32:00,64.83000000039404,15.755004602419229,9.145704111826134
2020-08-17 00:33:00,64.83000000039404,15.755004602419229,9.145704111826134
2020-08-17 00:34:00,64.83000000039404,15.755004602419229,9.145704111826134
2020-08-17 00:35:00,64.83000000039404,15.755004602419229,9.145704111826134
2020-08-17 00:36:00,64.83000000039404,15.755004602419229,9.145704111826134
2020-08-17 00:37:00,64.83000000039404,15.755004602419229,9.145704111826134
2020-08-17 00:38:00,64.47999999993154,16.861666666668437,9.072678333316835
2020-08-17 00:39:00,64.47999999993154,16.861666666668437,9.072678333316835
2020-08-17 00:40:00,64.47999999993154,16.861666666668437,9.072678333316835
2020-08-17 00:41:00,64.47999999993154,16.861666666668437,9.072678333316835
2020-08-17 00:42:00,64.47999999993154,16.861666666668437,9.072678333316835
2020-08-17 00:43:00,64.47999999993154,16.861666666668437,9.072678333316835
2020-08-17 00:44:00,64.47999999993154,16.861666666668437,9.072678333316835
2020-08-17 00:45:00,64.47999999993154,16.861666666668437,9.072678333316835
2020-08-17 00:46:00,74.13999999986319,17.5916720201375,8.741427300081178
2020-08-17 00:47:00,74.13999999986319,17.5916720201375,8.741427300081178
2020-08-17 00:48:00,74.13999999986319,17.5916720201375,8.741427300081178
2020-08-17 00:49:00,74.13999999986319,17.5916720201375,8.741427300081178
2020-08-17 00:50:00,74.13999999986319,17.5916720201375,8.741427300081178
2020-08-17 00:51:00,74.13999999986319,17.5916720201375,8.741427300081178
2020-08-17 00:52:00,74.13999999986319,17.5916720201375,8.741427300081178
2020-08-17 00:53:00,74.13999999986319,17.5916720201375,8.741427300081178
2020-08-17 00:54:00,75.35437853328739,18.606666666668065,8.83166666666466
2020-08-17 00:55:00,75.35437853328739,18.606666666668065,8.83166666666466
2020-08-17 00:56:00,75.35437853328739,18.606666666668065,8.83166666666466
2020-08-17 00:57:00,75.35437853328739,18.606666666668065,8.83166666666466
2020-08-17 00:58:00,75.35437853328739,18.606666666668065,8.83166666666466
2020-08-17 00:59:00,75.35437853328739,18.606666666668065,8.83166666666466
2020-08-17 01:00:00,75.35437853328739,18.606666666668065,8.83166666666466
2020-08-17 01:01:00,75.35437853328739,18.606666666668065,8.83166666666466
2020-08-17 01:02:00,64.63000000019427,16.854995397563464,8.976585888316187
2020-08-17 01:03:00,64.63000000019427,16.854995397563464,8.976585888316187
2020-08-17 01:04:00,64.63000000019427,16.854995397563464,8.976585888316187
2020-08-17 01:05:00,64.63000000019427,16.854995397563464,8.976585888316187
2020-08-17 01:06:00,64.63000000019427,16.854995397563464,8.976585888316187
2020-08-17 01:07:00,64.63000000019427,16.854995397563464,8.976585888316187
2020-08-17 01:08:00,64.63000000019427,16.854995397563464,8.976585888316187
2020-08-17 01:09:00,64.63000000019427,16.854995397563464,8.976585888316187
2020-08-17 01:10:00,65.35723925716574,15.805012905554472,8.97833097391917
2020-08-17 01:11:00,65.35723925716574,15.805012905554472,8.97833097391917
2020-08-17 01:12:00,65.35723925716574,15.805012905554472,8.97833097391917
