,ExtCondensTurbineOP.hp_steam_machine_opt,ExtCondensTurbineOP.lp_steam_machine_opt,ExtCondensTurbineOP.electricity_machine_opt
2020-08-17 00:05:00,64.25999999985427,12.714995397573162,9.06816588823407
2020-08-17 00:13:00,65.71292453093984,14.63166297065933,9.289999235964723
2020-08-17 00:21:00,65.61000000068353,16.711663991069972,9.209858849884805
2020-08-17 00:29:00,64.83000000039404,15.755004602419229,9.145704111826134
2020-08-17 00:37:00,64.47999999993154,16.861666666668437,9.072678333316835
2020-08-17 00:45:00,74.13999999986319,17.5916720201375,8.741427300081178
2020-08-17 00:53:00,75.35437853328739,18.606666666668065,8.83166666666466
2020-08-17 01:01:00,64.63000000019427,16.854995397563464,8.976585888316187
2020-08-17 01:09:00,65.35723925716574,15.805012905554472,8.97833097391917
2020-08-17 01:17:00,65.3262285454326,13.719993779184463,9.190001137339607
2020-08-17 01:25:00,65.5899999998667,15.180004602434574,9.44999911169872
2020-08-17 01:33:00,65.84999999996792,14.920000000000758,9.519139999992285
2020-08-17 01:41:00,66.13999999927202,15.49000460245279,9.40999911155486
2020-08-17 01:49:00,66.81999999994318,14.400000000001613,9.614029999986279
2020-08-17 01:57:00,61.44084718972913,13.519993779170086,8.750001137396366
2020-08-17 02:05:00,65.91557882814391,15.009993779175758,9.206667804061155
2020-08-17 02:13:00,64.08999999982701,15.070004602435764,8.794569111689125
2020-08-17 02:21:00,72.80000000005234,14.766663998760844,8.606093848251511
2020-08-17 02:29:00,72.61052966085025,18.621666666671945,7.936666666626307
2020-08-17 02:37:00,72.62000000018733,17.16166206423059,8.075415888314458
2020-08-17 02:45:00,73.08815665494735,17.888330456726564,8.098333859086132
2020-08-17 02:53:00,74.49118644987394,18.453333552198178,8.413333293262781
2020-08-17 03:01:00,73.63000000043215,18.971666666653785,8.372545000104473
2020-08-17 03:09:00,73.52227622368221,19.95145517785271,8.289333006130095
2020-08-17 03:17:00,73.81714662457132,19.589993779182716,7.96333447068335
2020-08-17 03:25:00,74.21333333281689,19.999215532968122,8.191088068681939
2020-08-17 03:33:00,73.4400000003834,15.911671269088831,8.675477445156393
2020-08-17 03:41:00,74.03546312471926,19.920585517395164,8.437006292576479
2020-08-17 03:49:00,73.94666666691153,18.606663994544874,8.520827182443956
2020-08-17 03:57:00,73.77999999948706,19.929995397585344,8.508250888145062
2020-08-17 04:05:00,73.96000000008644,16.293328730898672,8.581297554957043
2020-08-17 04:13:00,73.57656724887256,19.629987309507023,8.265002319999187
2020-08-17 04:21:00,73.47999999958894,19.000004602441397,8.34999911163185
2020-08-17 04:29:00,74.1420338980472,16.180000000007755,8.544999999937643
2020-08-17 04:37:00,63.86999999986671,17.480004602434576,8.60999911169872
2020-08-17 04:45:00,74.11072075341619,17.240009612748896,8.649998242545756
2020-08-17 04:53:00,74.93999999979708,19.57499539757696,8.162895888219845
2020-08-17 05:01:00,73.48937920401175,19.665005928494455,7.919997347947411
2020-08-17 05:09:00,72.50711500571256,19.419993631255178,8.160000370516034
2020-08-17 05:17:00,74.17000000047891,15.604995397557829,8.970445888384447
2020-08-17 05:25:00,71.55062120064088,17.063327112522202,8.931667803967912
2020-08-17 05:33:00,65.2666666668253,17.070004602426014,9.106665778435936
2020-08-17 05:41:00,65.30972484450591,17.131672887478985,9.051665529353352
2020-08-17 05:49:00,65.8233333338238,15.458337935750865,9.377407445182548
2020-08-17 05:57:00,66.50000000063505,16.40166666664767,9.479328333486873
2020-08-17 06:05:00,65.96000000022379,17.388335263684418,9.291031294161773
2020-08-17 06:13:00,65.55917333877959,16.96334659385205,9.08999901533862
2020-08-17 06:21:00,65.80762071649161,18.26999300703269,8.96999983873488
2020-08-17 06:29:00,65.9199999998704,16.928333333336973,9.27331166663538
2020-08-17 06:37:00,65.93237273248275,17.799996553808416,9.120000629980906
2020-08-17 06:45:00,67.33755649717521,17.96999999999999,9.333333333333353
2020-08-17 06:53:00,65.86016711756109,14.540009481030735,9.284997609905718
2020-08-17 07:01:00,66.37999999965277,15.180004602441295,9.339999111646936
2020-08-17 07:09:00,66.64305111568054,15.700006220812671,9.354998862683832
2020-08-17 07:17:00,65.10897708526768,16.40000311851006,9.019997990250912
2020-08-17 07:25:00,66.61999999991308,16.870000000002435,9.477729999979015
2020-08-17 07:33:00,65.72016961421133,15.75000283811957,9.304999481196868
2020-08-17 07:41:00,66.30254195920112,15.66999040496617,9.305001754213109
2020-08-17 07:49:00,65.25355905337774,16.4199937792003,8.985001137211606
2020-08-17 07:57:00,67.23423144460104,19.27000595240609,9.329997472111701
2020-08-17 08:05:00,79.9999999999996,18.140588870174742,9.567916348056182
2020-08-17 08:13:00,80.00000000001093,20.000000000002117,9.126450000002169
2020-08-17 08:21:00,80.00000000000519,20.000000000000995,9.256693333334365
2020-08-17 08:29:00,90.66000000000001,21.680000000000003,11.199999999999998
2020-08-17 08:37:00,91.30333333333333,22.833333333333332,11.38
2020-08-17 08:45:00,95.71666666666665,25.366666666666664,11.256666666666666
2020-08-17 08:53:00,94.03666666666668,25.293333333333337,11.096666666666666
2020-08-17 09:01:00,96.16,25.4,11.14
2020-08-17 09:09:00,93.54,24.59,11.44
2020-08-17 09:17:00,96.69,22.18,11.62
2020-08-17 09:25:00,92.58,23.349999999999998,11.31
2020-08-17 09:33:00,93.48,23.09,10.99
2020-08-17 09:41:00,96.2,25.13,11.18
2020-08-17 09:49:00,95.02,25.61,10.91
2020-08-17 09:57:00,95.33,25.3,10.97
2020-08-17 10:05:00,95.86,25.71,11.11
