,CFBoilerOP.exhaust_oxygen_concentration
2020-07-25 00:00:00,4.146348773841962
2020-07-25 01:00:00,4.445877659574467
2020-07-25 02:00:00,4.985779036827195
2020-07-25 03:00:00,4.917911227154045
2020-07-25 04:00:00,4.348011204481793
2020-07-25 05:00:00,4.383488372093024
2020-07-25 06:00:00,4.576746031746032
2020-07-25 07:00:00,4.741807909604519
2020-07-25 08:00:00,5.068442622950821
2020-07-25 09:00:00,4.783688524590164
2020-07-25 10:00:00,4.7393243243243255
2020-07-25 11:00:00,5.123403614457831
2020-07-25 12:00:00,5.276453333333332
2020-07-25 13:00:00,5.508685015290521
2020-07-25 14:00:00,4.7627154046997395
2020-07-25 15:00:00,4.443837535014004
2020-07-25 16:00:00,4.4499721448467975
2020-07-25 17:00:00,4.129111328125001
2020-07-25 18:00:00,3.800287141073659
2020-07-25 19:00:00,4.069999999999999
2020-07-25 20:00:00,3.795185185185184
2020-07-25 21:00:00,4.20366847826087
2020-07-25 22:00:00,4.277282321899736
2020-07-25 23:00:00,4.200557103064067
2020-07-26 00:00:00,5.234182305630023
2020-07-26 01:00:00,5.160919220055711
2020-07-26 02:00:00,5.511978609625667
2020-07-26 03:00:00,5.251566951566953
2020-07-26 04:00:00,4.968074712643679
2020-07-26 05:00:00,4.772471590909089
2020-07-26 06:00:00,4.591521126760563
2020-07-26 07:00:00,5.858821917808219
2020-07-26 08:00:00,5.61350974930362
2020-07-26 09:00:00,4.965636856368563
2020-07-26 10:00:00,5.355378151260504
2020-07-26 11:00:00,5.263527777777779
2020-07-26 12:00:00,4.963287292817679
2020-07-26 13:00:00,4.791038251366119
2020-07-26 14:00:00,4.624461077844312
2020-07-26 15:00:00,4.87728862973761
2020-07-26 16:00:00,5.107433155080215
2020-07-26 17:00:00,5.239432989690723
2020-07-26 18:00:00,4.724404432132964
2020-07-26 19:00:00,4.077877984084881
2020-07-26 20:00:00,4.12391304347826
2020-07-26 21:00:00,4.220576368876079
2020-07-26 22:00:00,4.117688172043011
2020-07-26 23:00:00,4.202219101123595
2020-07-27 00:00:00,4.659019607843137
2020-07-27 01:00:00,4.298607242339833
2020-07-27 02:00:00,5.066354166666668
2020-07-27 03:00:00,5.215833333333335
2020-07-27 04:00:00,4.885619596541789
2020-07-27 05:00:00,4.265516304347825
2020-07-27 06:00:00,4.406132596685085
2020-07-27 07:00:00,4.535189504373179
2020-07-27 08:00:00,4.867275362318841
2020-07-27 09:00:00,4.96428961748634
2020-07-27 10:00:00,5.104649122807018
2020-07-27 11:00:00,5.132877492877492
2020-07-27 12:00:00,5.074567567567569
2020-07-27 13:00:00,4.985266106442577
2020-07-27 14:00:00,4.855693641618497
2020-07-27 15:00:00,4.733115183246073
2020-07-27 16:00:00,4.457944444444444
2020-07-27 17:00:00,4.487531305903398
2020-07-27 18:00:00,4.066472222222222
2020-07-27 19:00:00,4.3860917941585535
2020-07-27 20:00:00,4.351295264623955
2020-07-27 21:00:00,4.614547983310154
2020-07-27 22:00:00,3.9601949860724237
2020-07-27 23:00:00,3.8916133518776066
2020-07-28 00:00:00,4.3610431154381075
2020-07-28 01:00:00,4.4909610027855145
2020-07-28 02:00:00,4.667705146036163
2020-07-28 03:00:00,4.640999999999999
2020-07-28 04:00:00,4.687246175243394
2020-07-28 05:00:00,4.2158158995815915
2020-07-28 06:00:00,4.434722222222221
2020-07-28 07:00:00,4.722127955493742
2020-07-28 08:00:00,5.0445403899721475
2020-07-28 09:00:00,5.326342141863702
2020-07-28 10:00:00,5.250597222222221
