,CFBoilerOP.large_slag_carbon_content,CFBoilerOP.fly_ash_carbon_content
2020-07-27 00:00:00,4.25,7.5
2020-07-27 16:55:36,3.5,7.5
2020-07-27 17:00:11,5.0,7.5
2020-07-28 00:00:00,5.0,7.5
2020-07-28 22:25:47,5.0,7.5
2020-07-30 00:00:00,1.83,7.0
2020-07-30 10:54:55,1.83,7.0
2020-07-31 00:00:00,2.5,8.0
2020-07-31 09:54:03,2.5,8.0
2020-08-01 00:00:00,2.0,8.25
2020-08-01 12:35:13,1.5,8.5
2020-08-01 12:35:26,2.5,8.0
2020-08-03 00:00:00,4.7727272727272725,9.090909090909092
2020-08-03 10:26:33,2.5,7.0
2020-08-03 11:51:09,3.5,8.0
2020-08-03 11:58:53,3.5,8.0
2020-08-03 11:59:52,8.0,10.0
2020-08-03 12:00:10,8.0,10.0
2020-08-03 12:01:28,3.5,8.0
2020-08-03 12:01:42,3.5,8.0
2020-08-03 16:51:12,3.5,8.0
2020-08-03 16:56:08,3.5,8.0
2020-08-03 16:56:49,3.5,8.0
2020-08-03 17:07:49,8.0,15.0
2020-08-03 17:10:15,5.0,10.0
2020-08-04 00:00:00,1.0,8.0
2020-08-04 10:48:24,1.0,8.0
2020-08-05 00:00:00,0.66,8.28
2020-08-05 08:37:03,0.66,8.28
2020-08-05 10:50:34,0.66,8.28
2020-08-06 00:00:00,0.615,8.475
2020-08-06 08:51:21,0.66,8.2
2020-08-06 09:15:28,0.57,8.75
2020-08-07 00:00:00,2.64,9.93
2020-08-07 10:22:11,2.64,9.93
2020-08-08 00:00:00,13.41,9.71
2020-08-08 09:04:00,13.41,9.71
2020-08-10 00:00:00,5.0,9.355
2020-08-10 11:08:48,5.0,9.71
2020-08-10 11:09:50,5.0,9.0
2020-08-11 00:00:00,1.0,8.9
2020-08-11 08:49:09,1.0,8.9
2020-08-12 00:00:00,4.3,8.44
2020-08-12 09:07:48,4.3,8.44
2020-08-13 00:00:00,1.49,7.13
2020-08-13 09:06:24,1.49,7.13
2020-08-14 00:00:00,3.31,7.35
2020-08-14 08:44:05,3.31,7.35
2020-08-15 00:00:00,4.2,7.33
2020-08-15 08:58:01,4.2,7.33
2020-08-17 00:00:00,3.986666666666667,7.083333333333333
2020-08-17 08:12:05,3.8,6.5
2020-08-17 08:12:21,3.8,6.5
2020-08-17 08:13:09,4.36,8.25
2020-08-18 00:00:00,2.44,6.66
2020-08-18 09:48:51,2.44,6.66
2020-08-19 08:43:18,2.44,6.6
2020-08-20 08:32:03,3.43,7.1
2020-08-21 00:00:00,1.96,7.37
2020-08-21 10:51:47,1.96,7.37
2020-08-22 13:07:52,1.7,7.64
2020-08-24 00:00:00,1.7000000000000002,7.6
2020-08-24 10:41:49,1.7,7.6
2020-08-25 08:08:04,1.15,6.26
2020-08-26 08:56:00,0.94,6.52
2020-08-26 08:57:57,0.94,6.52
2020-08-27 12:46:33,0.92,6.5
2020-08-28 00:00:00,0.92,7.77
2020-08-28 10:35:47,0.92,7.77
2020-08-29 09:59:41,0.33,2.59
2020-08-30 00:00:00,0.63,6.59
2020-08-30 09:11:54,0.63,6.59
