,CFBoilerOP.exhaust_oxygen_concentration
2020-07-30 11:00:00,4.617444444444445
2020-07-30 12:00:00,4.498930555555556
2020-07-30 13:00:00,4.484874999999999
2020-07-30 14:00:00,4.594180555555555
2020-07-30 15:00:00,4.541347222222223
2020-07-30 16:00:00,4.469402777777777
2020-07-30 17:00:00,4.846458333333333
2020-07-30 18:00:00,4.807055555555556
2020-07-30 19:00:00,4.641083333333336
2020-07-30 20:00:00,4.67177777777778
2020-07-30 21:00:00,4.621180555555554
2020-07-30 22:00:00,4.662791666666667
2020-07-30 23:00:00,4.551902777777779
2020-07-31 00:00:00,5.910694444444447
2020-07-31 01:00:00,6.370430555555556
2020-07-31 02:00:00,5.9156388888888864
2020-07-31 03:00:00,5.1518749999999995
2020-07-31 04:00:00,5.0255833333333335
2020-07-31 05:00:00,5.0305138888888905
2020-07-31 06:00:00,4.877652777777777
2020-07-31 07:00:00,4.982486111111111
2020-07-31 08:00:00,4.166541666666667
2020-07-31 09:00:00,4.040861111111111
2020-07-31 10:00:00,4.075916666666666
2020-07-31 11:00:00,4.441777777777778
2020-07-31 12:00:00,4.358499999999999
2020-07-31 13:00:00,4.727166666666668
2020-07-31 14:00:00,4.290083333333334
2020-07-31 15:00:00,4.649819444444445
2020-07-31 16:00:00,4.46113888888889
2020-07-31 17:00:00,4.460638888888889
2020-07-31 18:00:00,4.282055555555555
2020-07-31 19:00:00,4.503277777777777
2020-07-31 20:00:00,4.602930555555556
2020-07-31 21:00:00,4.307180555555555
2020-07-31 22:00:00,4.442791666666667
2020-07-31 23:00:00,4.498277777777778
2020-08-01 00:00:00,4.940194444444446
2020-08-01 01:00:00,4.960333333333333
2020-08-01 02:00:00,4.235180555555555
2020-08-01 03:00:00,4.022041666666667
2020-08-01 04:00:00,4.218569444444444
2020-08-01 05:00:00,4.2201944444444415
2020-08-01 06:00:00,4.482888888888888
2020-08-01 07:00:00,4.679611111111112
2020-08-01 08:00:00,4.618152777777778
2020-08-01 09:00:00,0.6216527777777776
2020-08-01 10:00:00,4.11976388888889
2020-08-01 11:00:00,4.652666666666668
2020-08-01 12:00:00,4.720013888888888
2020-08-01 13:00:00,4.71498611111111
2020-08-01 14:00:00,4.784708333333333
2020-08-01 15:00:00,4.681986111111112
2020-08-01 16:00:00,4.711388888888889
2020-08-01 17:00:00,4.952777777777778
2020-08-01 18:00:00,5.169013888888889
2020-08-01 19:00:00,4.883083333333333
2020-08-01 20:00:00,4.802430555555555
2020-08-01 21:00:00,4.573555555555556
2020-08-01 22:00:00,4.613305555555557
2020-08-01 23:00:00,4.695083333333334
2020-08-02 00:00:00,5.392486111111112
2020-08-02 01:00:00,5.279555555555556
2020-08-02 02:00:00,5.665097222222223
2020-08-02 03:00:00,5.574125
2020-08-02 04:00:00,5.505
2020-08-02 05:00:00,5.218249999999999
2020-08-02 06:00:00,5.761333333333332
2020-08-02 07:00:00,6.136861111111111
2020-08-02 08:00:00,5.573736111111112
2020-08-02 09:00:00,5.066486111111113
2020-08-02 10:00:00,4.917291666666667
2020-08-02 11:00:00,4.803166666666666
2020-08-02 12:00:00,4.896375000000002
2020-08-02 13:00:00,5.01125
2020-08-02 14:00:00,5.335222222222222
2020-08-02 15:00:00,5.276055555555556
2020-08-02 16:00:00,5.065680555555557
2020-08-02 17:00:00,4.9494027777777765
2020-08-02 18:00:00,5.135194444444445
2020-08-02 19:00:00,5.119930555555556
2020-08-02 20:00:00,5.241638888888889
2020-08-02 21:00:00,4.988444444444445
2020-08-02 22:00:00,5.31513888888889
2020-08-02 23:00:00,5.607791666666668
2020-08-03 00:00:00,5.869638888888888
2020-08-03 01:00:00,6.105777777777776
2020-08-03 02:00:00,6.091055555555557
2020-08-03 03:00:00,5.986472222222223
2020-08-03 04:00:00,5.879791666666667
2020-08-03 05:00:00,5.954527777777777
2020-08-03 06:00:00,5.964277777777777
2020-08-03 07:00:00,5.796138888888887
2020-08-03 08:00:00,5.468847222222222
2020-08-03 09:00:00,5.80338888888889
2020-08-03 10:00:00,5.504666666666667
2020-08-03 11:00:00,5.535305555555555
2020-08-03 12:00:00,5.472054208273892
2020-08-03 13:00:00,5.151555555555555
2020-08-03 14:00:00,5.412218890554723
2020-08-03 15:00:00,5.610166666666665
2020-08-03 16:00:00,5.071513888888889
2020-08-03 17:00:00,5.244736111111113
2020-08-03 18:00:00,5.229666666666666
2020-08-03 19:00:00,4.877027777777777
2020-08-03 20:00:00,5.194638888888888
2020-08-03 21:00:00,5.023444444444444
2020-08-03 22:00:00,5.267944444444445
2020-08-03 23:00:00,5.145194444444444
2020-08-04 00:00:00,5.033277777777776
2020-08-04 01:00:00,4.458583333333333
2020-08-04 02:00:00,4.745652777777778
2020-08-04 03:00:00,4.8835
2020-08-04 04:00:00,4.906722222222222
2020-08-04 05:00:00,4.741625
2020-08-04 06:00:00,4.832444444444445
2020-08-04 07:00:00,4.9272777777777765
2020-08-04 08:00:00,4.745736111111111
2020-08-04 09:00:00,4.598472222222221
2020-08-04 10:00:00,4.830680555555556
2020-08-04 11:00:00,4.948819444444446
2020-08-04 12:00:00,4.9266805555555555
2020-08-04 13:00:00,4.675041666666668
2020-08-04 14:00:00,4.251875000000001
2020-08-04 15:00:00,4.360875
2020-08-04 16:00:00,4.3984444444444435
2020-08-04 17:00:00,4.696083333333333
2020-08-04 18:00:00,4.555638888888891
2020-08-04 19:00:00,4.649638888888886
2020-08-04 20:00:00,4.7928194444444445
2020-08-04 21:00:00,4.737375
