,CFBoilerOP.efficiency_reverse
2020-07-30 12:00:00,91.4149571104393
2020-07-30 13:00:00,91.43228733243589
2020-07-30 14:00:00,91.39876073364765
2020-07-30 15:00:00,91.40313550913586
2020-07-30 16:00:00,91.45277236987599
2020-07-30 17:00:00,91.26522397249117
2020-07-30 18:00:00,91.26437014104633
2020-07-30 19:00:00,91.34043083169483
2020-07-30 20:00:00,91.33981698059048
2020-07-30 21:00:00,91.346742496871
2020-07-30 22:00:00,91.33448262921267
2020-07-30 23:00:00,91.3759110366959
2020-07-31 00:00:00,90.58795304339517
2020-07-31 01:00:00,89.89076709437033
2020-07-31 02:00:00,89.98871138923602
2020-07-31 03:00:00,90.24825307469493
2020-07-31 04:00:00,90.2577779264425
2020-07-31 05:00:00,90.19581539126064
2020-07-31 06:00:00,90.21565856835134
2020-07-31 07:00:00,90.20039361048826
2020-07-31 08:00:00,90.54811894148952
2020-07-31 09:00:00,90.53398599194792
2020-07-31 10:00:00,90.24242174483538
2020-07-31 11:00:00,90.08601159410956
2020-07-31 12:00:00,90.1700967903893
2020-07-31 13:00:00,90.3717926876183
2020-07-31 14:00:00,90.85822739129412
2020-07-31 15:00:00,90.88091319734963
2020-07-31 16:00:00,88.12364605872222
2020-07-31 17:00:00,91.11895437334007
2020-07-31 18:00:00,91.11243980037406
2020-07-31 19:00:00,91.03517663023727
2020-07-31 20:00:00,91.06217096558908
2020-07-31 21:00:00,91.13729727174132
2020-07-31 22:00:00,91.06471515264369
2020-07-31 23:00:00,91.02946735818564
2020-08-01 00:00:00,90.83024284432767
2020-08-01 01:00:00,90.88620648015518
2020-08-01 02:00:00,91.22454397144512
2020-08-01 03:00:00,91.29014477620035
2020-08-01 04:00:00,91.21431992359972
2020-08-01 05:00:00,91.19821795807053
2020-08-01 06:00:00,91.0905117419998
2020-08-01 07:00:00,91.0060562137435
2020-08-01 08:00:00,91.01176867129568
2020-08-01 09:00:00,91.12150216844844
2020-08-01 10:00:00,90.76007978081354
2020-08-01 11:00:00,91.05718687882629
2020-08-01 12:00:00,91.0294800148195
2020-08-01 13:00:00,91.0330402794692
2020-08-01 14:00:00,91.05956745417822
2020-08-01 15:00:00,91.10219664466169
2020-08-01 16:00:00,91.08969688133743
2020-08-01 17:00:00,91.0257186935938
2020-08-01 18:00:00,90.96963278416511
2020-08-01 19:00:00,91.04467070751538
2020-08-01 20:00:00,91.04275329070175
2020-08-01 21:00:00,91.06555044750249
2020-08-01 22:00:00,91.03607195531917
2020-08-01 23:00:00,90.98519156763219
2020-08-02 00:00:00,90.73597010063858
2020-08-02 01:00:00,90.75082803644821
2020-08-02 02:00:00,90.60422117853749
2020-08-02 03:00:00,90.646809465942
2020-08-02 04:00:00,90.68694294912719
2020-08-02 05:00:00,90.81178095136869
2020-08-02 06:00:00,90.58089648755347
2020-08-02 07:00:00,90.5330602418243
2020-08-02 08:00:00,90.76490524023922
2020-08-02 09:00:00,90.96526798789779
2020-08-02 10:00:00,91.00880652770408
2020-08-02 11:00:00,91.12421814417353
2020-08-02 12:00:00,91.05838237298238
2020-08-02 13:00:00,91.05217392914557
2020-08-02 14:00:00,90.90964306757958
2020-08-02 15:00:00,90.90065352863775
2020-08-02 16:00:00,90.9447099055506
2020-08-02 17:00:00,90.95545433541815
2020-08-02 18:00:00,90.88534264868197
2020-08-02 19:00:00,90.92809033384907
2020-08-02 20:00:00,90.93370444177596
2020-08-02 21:00:00,91.05299082158999
2020-08-02 22:00:00,90.93863307007152
2020-08-02 23:00:00,90.83739752918063
2020-08-03 00:00:00,90.73998979329731
2020-08-03 01:00:00,90.62894454699754
2020-08-03 02:00:00,90.64728649727698
2020-08-03 03:00:00,90.69800908464723
2020-08-03 04:00:00,90.7543474009186
2020-08-03 05:00:00,90.73824343445672
2020-08-03 06:00:00,90.74736947772506
2020-08-03 07:00:00,90.83480839041675
2020-08-03 08:00:00,90.91759519538368
2020-08-03 09:00:00,90.77887470812905
2020-08-03 10:00:00,91.03768446633676
2020-08-03 11:00:00,91.09115884083232
2020-08-03 12:00:00,90.29283325896186
2020-08-03 13:00:00,90.46480063230487
2020-08-03 14:00:00,90.40412296772217
2020-08-03 15:00:00,90.32673207114767
2020-08-03 16:00:00,90.50869633279098
2020-08-03 17:00:00,89.61370761590787
2020-08-03 18:00:00,89.59141958419436
2020-08-03 19:00:00,89.71774933516839
2020-08-03 20:00:00,89.60980090262787
2020-08-03 21:00:00,89.67202561622027
2020-08-03 22:00:00,89.56307297407609
2020-08-03 23:00:00,89.58466308559056
2020-08-04 00:00:00,89.66336764534181
2020-08-04 01:00:00,89.88614449352286
2020-08-04 02:00:00,89.76542285251088
2020-08-04 03:00:00,89.70464275693308
2020-08-04 04:00:00,89.68245592183217
2020-08-04 05:00:00,89.73915402760804
2020-08-04 06:00:00,89.70477592159826
2020-08-04 07:00:00,89.67637856550611
2020-08-04 08:00:00,89.77170050291714
2020-08-04 09:00:00,89.78129449987287
2020-08-04 10:00:00,89.90070255516245
2020-08-04 11:00:00,90.611585898921
2020-08-04 12:00:00,90.59146530768793
2020-08-04 13:00:00,90.67691811148092
2020-08-04 14:00:00,90.78801986227451
2020-08-04 15:00:00,90.74770165131008
2020-08-04 16:00:00,90.79241720973232
2020-08-04 17:00:00,90.71926827443515
2020-08-04 18:00:00,90.80154752990414
2020-08-04 19:00:00,90.82372550007571
2020-08-04 20:00:00,90.70121543104113
2020-08-04 21:00:00,90.70622726838567
2020-08-04 22:00:00,90.86107667897473
2020-08-04 23:00:00,90.7932925993388
2020-08-05 00:00:00,90.78634450060503
2020-08-05 01:00:00,90.70381478562126
2020-08-05 02:00:00,90.53476077636424
2020-08-05 03:00:00,90.63633017757893
2020-08-05 04:00:00,90.64435366931703
2020-08-05 05:00:00,90.6704857336755
2020-08-05 06:00:00,90.81648781894087
2020-08-05 07:00:00,90.56761570862878
2020-08-05 08:00:00,90.4882022589929
2020-08-05 09:00:00,90.78633536364113
2020-08-05 10:00:00,90.7385810734845
2020-08-05 11:00:00,90.7607260003033
2020-08-05 12:00:00,90.78392717561674
2020-08-05 13:00:00,90.8582664253856
2020-08-05 14:00:00,90.72759789031657
2020-08-05 15:00:00,90.80217360445636
2020-08-05 16:00:00,90.69486635261755
2020-08-05 17:00:00,90.76703912857054
2020-08-05 18:00:00,90.64575171652386
2020-08-05 19:00:00,90.69873565355688
2020-08-05 20:00:00,90.90272003799774
2020-08-05 21:00:00,90.96601328173664
2020-08-05 22:00:00,90.89176542745395
2020-08-05 23:00:00,90.77871668986144
2020-08-06 00:00:00,90.75173140758605
2020-08-06 08:00:00,90.93684740619334
2020-08-06 09:00:00,90.66463658809928
2020-08-06 10:00:00,90.5751101495374
2020-08-06 11:00:00,90.51439185682284
2020-08-06 12:00:00,90.58640845354762
2020-08-06 13:00:00,90.61969364128467
2020-08-06 14:00:00,90.56458846517434
2020-08-06 15:00:00,90.51077984314311
2020-08-06 16:00:00,90.48247145895088
2020-08-06 17:00:00,90.49342191979085
2020-08-06 18:00:00,90.48827166836216
2020-08-06 19:00:00,90.62555309314934
2020-08-06 20:00:00,90.70304245459786
2020-08-06 21:00:00,90.73000725904107
2020-08-06 22:00:00,90.74706451438006
2020-08-06 23:00:00,90.6403103529667
2020-08-07 00:00:00,90.62935852232296
2020-08-07 01:00:00,90.53809090044038
2020-08-07 02:00:00,90.51377220698117
2020-08-07 03:00:00,90.42880264664913
2020-08-07 04:00:00,90.5336100071569
2020-08-07 05:00:00,90.65492961043638
2020-08-07 06:00:00,90.56542923234848
2020-08-07 07:00:00,90.68917393399254
2020-08-07 08:00:00,90.77586646790623
2020-08-07 09:00:00,90.79995350122448
2020-08-07 10:00:00,90.44586176249304
2020-08-07 11:00:00,90.19753267025017
2020-08-07 12:00:00,90.16035761111108
2020-08-07 13:00:00,90.2672198954298
2020-08-07 14:00:00,90.258027718763
2020-08-07 15:00:00,90.22154424031649
2020-08-07 16:00:00,90.08156839317017
2020-08-07 17:00:00,90.05437826783192
2020-08-07 18:00:00,90.0796041978721
2020-08-07 19:00:00,90.10869494593256
2020-08-07 20:00:00,90.17686634220622
2020-08-07 21:00:00,90.1579153174418
2020-08-07 22:00:00,90.1656538333136
2020-08-07 23:00:00,90.16615387385617
2020-08-08 00:00:00,90.23818443966546
2020-08-08 01:00:00,90.17327614790894
2020-08-08 02:00:00,90.12582413920178
2020-08-08 03:00:00,90.15481474574034
2020-08-08 04:00:00,90.16158838304888
2020-08-08 05:00:00,90.02073966282346
2020-08-08 06:00:00,90.31783385864584
2020-08-08 07:00:00,90.1019798038409
2020-08-08 08:00:00,90.17537202775766
2020-08-08 09:00:00,89.4836683450779
2020-08-08 10:00:00,89.49243083342017
2020-08-08 11:00:00,89.36479239194779
2020-08-08 12:00:00,89.41650797248911
2020-08-08 13:00:00,89.39296150852509
2020-08-08 14:00:00,89.36339188678289
2020-08-08 15:00:00,89.3176054834259
2020-08-08 16:00:00,89.28677120695859
2020-08-08 17:00:00,89.29823479245422
2020-08-08 18:00:00,89.29728843619017
2020-08-08 19:00:00,89.3425937209344
2020-08-08 20:00:00,89.20903811093012
2020-08-08 21:00:00,89.25878101357394
2020-08-08 22:00:00,89.43352332372578
2020-08-08 23:00:00,89.40439394771755
2020-08-09 00:00:00,89.27893356605652
2020-08-09 01:00:00,89.21539564338288
2020-08-09 02:00:00,89.08346372219582
2020-08-09 03:00:00,89.07807549845442
2020-08-09 04:00:00,89.02685581347002
2020-08-09 05:00:00,89.15463081320787
2020-08-09 06:00:00,89.17258207817848
2020-08-09 07:00:00,88.98965475933596
2020-08-09 08:00:00,89.25656041686324
2020-08-09 09:00:00,89.36826694791746
2020-08-09 10:00:00,89.39352482793814
2020-08-09 11:00:00,89.26800687524164
2020-08-09 12:00:00,89.23994228255471
2020-08-09 13:00:00,89.2167431587669
2020-08-09 14:00:00,89.25891204602719
2020-08-09 15:00:00,89.17262318812892
2020-08-09 16:00:00,89.29749941347781
2020-08-09 17:00:00,89.3039362713123
2020-08-09 18:00:00,89.33304616226292
2020-08-09 19:00:00,89.31237138440169
2020-08-09 20:00:00,89.35609124265224
2020-08-09 21:00:00,89.33351466269683
2020-08-09 22:00:00,89.34157078738052
2020-08-09 23:00:00,89.34584926292645
2020-08-10 00:00:00,89.09341872949605
2020-08-10 01:00:00,89.14325402336782
2020-08-10 02:00:00,89.16144494228469
2020-08-10 03:00:00,89.32331764993582
2020-08-10 04:00:00,89.29997708943516
2020-08-10 05:00:00,89.19880946223569
2020-08-10 06:00:00,89.16957394205171
2020-08-10 07:00:00,89.04904462700938
2020-08-10 08:00:00,89.46010153822616
2020-08-10 09:00:00,89.42230721841769
2020-08-10 10:00:00,89.38010695852343
2020-08-10 11:00:00,90.1810794855771
2020-08-10 12:00:00,90.3801950772409
2020-08-10 13:00:00,90.31105043556934
2020-08-10 14:00:00,88.79289949899106
2020-08-10 15:00:00,88.58863832079403
2020-08-10 16:00:00,88.55546166443496
2020-08-10 17:00:00,88.49829151222363
2020-08-10 18:00:00,88.41429272891648
2020-08-10 19:00:00,88.4282933875141
2020-08-10 20:00:00,88.53944913465355
2020-08-10 21:00:00,88.5051576244798
2020-08-10 22:00:00,88.64373828376604
2020-08-10 23:00:00,88.49527956805021
2020-08-11 00:00:00,88.23537469027603
2020-08-11 01:00:00,88.32044981027022
2020-08-11 02:00:00,88.35242386433244
2020-08-11 03:00:00,88.28203439246161
2020-08-11 04:00:00,88.23805296493751
2020-08-11 05:00:00,88.06150033949376
2020-08-11 06:00:00,87.98487993615342
2020-08-11 07:00:00,87.94890198007451
2020-08-11 08:00:00,88.52024441688543
2020-08-11 09:00:00,88.75526759009689
2020-08-11 10:00:00,88.61964471146415
2020-08-11 11:00:00,88.60718613986137
2020-08-11 12:00:00,88.61480134603944
2020-08-11 13:00:00,88.69506594853553
2020-08-11 14:00:00,88.68283714517536
2020-08-11 15:00:00,88.61755636801922
2020-08-11 16:00:00,88.61060297743782
2020-08-11 17:00:00,88.55567771085389
2020-08-11 18:00:00,88.6217344048554
2020-08-11 19:00:00,88.79769942641913
2020-08-11 20:00:00,88.73210350695443
2020-08-11 21:00:00,88.67592202176749
2020-08-11 22:00:00,88.73028256523841
2020-08-11 23:00:00,88.54109862755489
2020-08-12 00:00:00,88.42527790861433
2020-08-12 01:00:00,88.34239520616835
2020-08-12 02:00:00,88.51361267809558
2020-08-12 03:00:00,88.57676879541222
2020-08-12 04:00:00,88.59190861981475
2020-08-12 05:00:00,88.63360133111723
2020-08-12 06:00:00,88.53594628771907
2020-08-12 07:00:00,88.63857827623197
2020-08-12 08:00:00,88.745227837806
2020-08-12 09:00:00,88.60741304791924
2020-08-12 10:00:00,88.5143256128857
2020-08-12 11:00:00,88.54035290572776
2020-08-12 12:00:00,88.49456920433245
2020-08-12 13:00:00,88.5747696911943
2020-08-12 14:00:00,88.66900672371376
2020-08-12 15:00:00,88.6165048092157
2020-08-12 16:00:00,88.4577301203436
2020-08-12 17:00:00,88.61563705391663
2020-08-12 18:00:00,88.46222739389681
2020-08-12 19:00:00,88.49422146586463
2020-08-12 20:00:00,88.4884079842297
2020-08-12 21:00:00,88.50613870844731
2020-08-12 22:00:00,88.51491483926165
2020-08-12 23:00:00,88.50599386721801
2020-08-13 00:00:00,88.3303393782168
2020-08-13 01:00:00,88.36108982296638
2020-08-13 02:00:00,88.34217344827803
2020-08-13 03:00:00,88.59305824350653
2020-08-13 04:00:00,88.45192636931714
2020-08-13 05:00:00,88.48539461634913
2020-08-13 06:00:00,88.5876372059347
2020-08-13 07:00:00,88.54586503561434
2020-08-13 08:00:00,88.55829302536785
2020-08-13 09:00:00,89.23953171718207
2020-08-13 10:00:00,89.44553652853915
2020-08-13 11:00:00,89.32012690919422
2020-08-13 12:00:00,89.4045613639893
2020-08-13 13:00:00,89.42883916285227
2020-08-13 14:00:00,89.48534642062667
2020-08-13 15:00:00,89.46356866380479
2020-08-13 16:00:00,89.45279243772178
2020-08-13 17:00:00,89.4808208603241
2020-08-13 18:00:00,89.49100893876403
2020-08-13 19:00:00,89.60759354247192
2020-08-13 20:00:00,89.55685065810458
2020-08-13 21:00:00,89.67874454356746
2020-08-13 22:00:00,89.56345245993563
2020-08-13 23:00:00,89.42435387461386
2020-08-14 00:00:00,89.0713118946244
2020-08-14 01:00:00,89.13113914329097
2020-08-14 02:00:00,88.980581519935
2020-08-14 03:00:00,89.01438321223108
2020-08-14 04:00:00,88.90259868067636
2020-08-14 05:00:00,89.04310258346997
2020-08-14 06:00:00,89.0667181900672
2020-08-14 07:00:00,89.08736321831212
2020-08-14 08:00:00,89.39335264965754
2020-08-14 09:00:00,89.20424987486956
2020-08-14 10:00:00,89.27433954284464
2020-08-14 11:00:00,89.18851320274439
2020-08-14 12:00:00,89.24615321771323
2020-08-14 13:00:00,89.33303626351585
2020-08-14 14:00:00,89.31449668082968
2020-08-14 15:00:00,89.26094209450814
2020-08-14 16:00:00,89.32613209723554
2020-08-14 17:00:00,89.27359761461626
2020-08-14 18:00:00,89.23829667823225
2020-08-14 19:00:00,89.31030083128408
2020-08-14 20:00:00,89.28765609311013
2020-08-14 21:00:00,89.23511249109616
2020-08-14 22:00:00,89.24082999193574
2020-08-14 23:00:00,89.23504303871073
2020-08-15 00:00:00,88.87980430492354
2020-08-15 01:00:00,88.78168558198885
2020-08-15 02:00:00,88.89569766628624
2020-08-15 03:00:00,88.87796854491498
2020-08-15 04:00:00,88.87416932726602
2020-08-15 05:00:00,88.90564559196137
2020-08-15 06:00:00,88.98251347283026
2020-08-15 07:00:00,89.00029533529964
2020-08-15 08:00:00,89.24832684010363
2020-08-15 09:00:00,89.2686719632387
2020-08-15 10:00:00,89.14623526362601
2020-08-15 11:00:00,89.20905167422752
2020-08-15 12:00:00,89.20555058811131
2020-08-15 13:00:00,89.3038399331119
2020-08-15 14:00:00,89.38086637658083
2020-08-15 15:00:00,89.31945466069773
2020-08-15 16:00:00,89.2757082745377
2020-08-15 17:00:00,89.25929451928234
2020-08-15 18:00:00,89.17453241389317
2020-08-15 19:00:00,89.23168910462714
2020-08-15 20:00:00,89.23293619555038
2020-08-15 21:00:00,89.17213192503189
2020-08-15 22:00:00,89.14337252156638
2020-08-15 23:00:00,89.1323540536918
2020-08-16 00:00:00,89.11206661767787
2020-08-16 01:00:00,89.08071825523717
2020-08-16 02:00:00,88.87168127868689
2020-08-16 03:00:00,88.98236404667607
2020-08-16 04:00:00,88.94388251799714
2020-08-16 05:00:00,89.07032488371661
2020-08-16 06:00:00,89.11851071386695
2020-08-16 07:00:00,89.0389676105177
2020-08-16 08:00:00,89.21950891394978
2020-08-16 09:00:00,89.24052824876952
2020-08-16 10:00:00,89.21902157919793
2020-08-16 11:00:00,89.24630799863803
2020-08-16 12:00:00,89.10712028652503
2020-08-16 13:00:00,89.0671277041767
2020-08-16 14:00:00,89.18629417169495
2020-08-16 15:00:00,89.20566209891984
2020-08-16 16:00:00,89.2201194110157
2020-08-16 17:00:00,89.13040580773722
2020-08-16 18:00:00,89.2749575955291
2020-08-16 19:00:00,89.21127372611275
2020-08-16 20:00:00,89.23274232507818
2020-08-16 21:00:00,89.13254286962413
2020-08-16 22:00:00,89.2073244448029
2020-08-16 23:00:00,89.17612896484592
2020-08-17 00:00:00,89.15508449440378
2020-08-17 01:00:00,89.12598488931897
2020-08-17 02:00:00,88.81933546128795
2020-08-17 03:00:00,89.00721080042383
2020-08-17 04:00:00,89.0317032627688
2020-08-17 05:00:00,89.17215360247697
2020-08-17 06:00:00,89.07314024049376
2020-08-17 07:00:00,89.14005448328335
2020-08-17 08:00:00,88.93871284178475
2020-08-17 09:00:00,88.95739303831296
2020-08-17 10:00:00,89.05155569457455
2020-08-17 11:00:00,89.021591595099
2020-08-17 12:00:00,89.11656705771433
2020-08-17 13:00:00,89.10160623977707
2020-08-17 14:00:00,89.1467762513411
2020-08-17 15:00:00,89.15648011101233
2020-08-17 16:00:00,89.12197340453145
2020-08-17 17:00:00,88.99853130527268
2020-08-17 18:00:00,89.05701556299553
2020-08-17 19:00:00,89.0957614086398
2020-08-17 20:00:00,89.06167749335718
2020-08-17 21:00:00,89.12582097979637
2020-08-17 22:00:00,89.1228893554477
2020-08-17 23:00:00,88.88555777537235
2020-08-18 00:00:00,88.81266402457359
2020-08-18 01:00:00,88.69880119427259
2020-08-18 02:00:00,88.7189199244422
2020-08-18 03:00:00,88.71326240526263
2020-08-18 04:00:00,88.76299236649359
2020-08-18 05:00:00,88.8088619270424
2020-08-18 06:00:00,88.76804643497483
2020-08-18 07:00:00,88.72515598933377
2020-08-18 08:00:00,88.90062965148043
2020-08-18 09:00:00,89.04917259459445
2020-08-18 10:00:00,89.57179930611929
2020-08-18 11:00:00,89.70384839997841
2020-08-18 12:00:00,89.62413713046787
2020-08-18 13:00:00,89.9346654702329
2020-08-18 14:00:00,89.7654218299605
2020-08-18 15:00:00,89.72716300422151
2020-08-18 16:00:00,89.86402224806555
2020-08-18 17:00:00,89.77290944710082
2020-08-18 18:00:00,89.86006262690661
2020-08-18 19:00:00,89.82658543790544
2020-08-18 20:00:00,89.88129064866789
2020-08-18 21:00:00,89.76430153855195
2020-08-18 22:00:00,89.8840024793251
2020-08-18 23:00:00,89.81134983915742
2020-08-19 00:00:00,89.75622386576498
2020-08-19 01:00:00,89.69653917605932
2020-08-19 02:00:00,89.74231899450932
2020-08-19 03:00:00,89.74276718127821
2020-08-19 04:00:00,89.77752885002454
2020-08-19 05:00:00,89.7153233757883
2020-08-19 06:00:00,89.70616328449067
2020-08-19 07:00:00,89.58715834573057
2020-08-19 08:00:00,89.78385027881488
2020-08-19 09:00:00,89.75898432441225
2020-08-19 10:00:00,89.90261445158417
2020-08-19 11:00:00,89.81823787278363
2020-08-19 12:00:00,89.84076437406151
2020-08-19 13:00:00,89.96018506667134
2020-08-19 14:00:00,89.89332991555602
2020-08-19 15:00:00,89.7999988621314
2020-08-19 16:00:00,89.781167053956
2020-08-19 17:00:00,89.7412072553087
2020-08-19 18:00:00,89.81866677783825
2020-08-19 19:00:00,89.83025707319189
2020-08-19 20:00:00,89.91717585932788
2020-08-19 21:00:00,89.91560642371594
2020-08-19 22:00:00,89.88710312838204
2020-08-19 23:00:00,89.92682916609084
2020-08-20 00:00:00,89.89641386848932
2020-08-20 01:00:00,89.80133341077138
2020-08-20 02:00:00,89.86460052033641
2020-08-20 03:00:00,89.76620392407473
2020-08-20 04:00:00,89.63343847418693
2020-08-20 05:00:00,89.7997922140376
2020-08-20 06:00:00,89.7076199294918
2020-08-20 07:00:00,89.71101370621791
2020-08-20 08:00:00,89.80011241571407
2020-08-20 09:00:00,89.8680242136801
2020-08-20 10:00:00,89.78356746763485
2020-08-20 11:00:00,89.82805989307687
2020-08-20 12:00:00,89.5847337913051
2020-08-20 13:00:00,89.53034515364386
2020-08-20 14:00:00,89.633957005202
2020-08-20 15:00:00,89.52333781003817
2020-08-20 16:00:00,89.56207004681133
2020-08-20 17:00:00,89.51187889767768
2020-08-20 18:00:00,89.55399702236954
2020-08-20 19:00:00,89.60161185523636
2020-08-20 20:00:00,89.53924635765289
2020-08-20 21:00:00,89.53611041222538
2020-08-20 22:00:00,89.62905596423603
2020-08-20 23:00:00,89.68345580761533
2020-08-21 00:00:00,89.65346981477751
2020-08-21 01:00:00,89.46293657352668
2020-08-21 02:00:00,89.46181171573623
2020-08-21 03:00:00,89.62906114993692
2020-08-21 04:00:00,89.56466419105689
2020-08-21 05:00:00,89.51921884882724
2020-08-21 06:00:00,89.54878486434649
2020-08-21 07:00:00,89.4795561927648
2020-08-21 08:00:00,89.55317653291027
2020-08-21 09:00:00,89.60768910534352
2020-08-21 10:00:00,89.60472307252634
2020-08-21 11:00:00,89.43316063921894
2020-08-21 12:00:00,89.38460005612637
2020-08-21 13:00:00,89.45985426828706
2020-08-21 14:00:00,89.49552182802267
2020-08-21 15:00:00,89.43978483579455
2020-08-21 16:00:00,89.48561849804072
2020-08-21 17:00:00,89.46968579449617
2020-08-21 18:00:00,89.57154618500925
2020-08-21 19:00:00,89.60110874274137
2020-08-21 20:00:00,89.67971728426845
2020-08-21 21:00:00,89.57976403423044
2020-08-21 22:00:00,89.61138107279385
2020-08-21 23:00:00,89.44587468516562
