time,SteamPipelineOP.electricity_power_ext,SteamPipelineOP.electricity_price_ext,SteamPipelineOP.total_cost_actual,SteamPipelineOP.total_cost_optim_array,,SteamPipelineOP.lp_steam_actual,SteamPipelineOP.electricity_power_actual,SteamPipelineOP.lp_steam_pred_avg,SteamPipelineOP.electricity_power_pred_avg,SteamPipelineOP.electricity_power_ext_opt,SteamPipelineOP.optim_status,SteamPipelineOP.lp_steam_pressure,SteamPipelineOP.hp_steam_pressure,SteamPipelineOP.coal_consumption_hour,ExtCondensTurbineOP.steam_flow_in_x,ExtCondensTurbineOP.steam_flow_in_y,ExtCondensTurbineOP.steam_flow_side_x,ExtCondensTurbineOP.steam_flow_side_y,ExtCondensTurbineOP.electricity_generation_x,ExtCondensTurbineOP.electricity_generation_y,ExtCondensTurbineOP.hp_steam_machine_opt_array_x,ExtCondensTurbineOP.hp_steam_machine_opt_array_y,ExtCondensTurbineOP.lp_steam_machine_opt_array_x,ExtCondensTurbineOP.lp_steam_machine_opt_array_y,ExtCondensTurbineOP.electricity_machine_opt_array_x,ExtCondensTurbineOP.electricity_machine_opt_array_y,ExtCondensTurbineOP.steam_pressure_in_x,ExtCondensTurbineOP.steam_pressure_in_y,ExtCondensTurbineOP.steam_temperature_in_x,ExtCondensTurbineOP.steam_temperature_in_y,ExtCondensTurbineOP.steam_pressure_out_x,ExtCondensTurbineOP.steam_pressure_out_y,ExtCondensTurbineOP.steam_temperature_out_x,ExtCondensTurbineOP.steam_temperature_out_y,ExtCondensTurbineOP.steam_pressure_side_x,ExtCondensTurbineOP.steam_pressure_side_y,ExtCondensTurbineOP.steam_temperature_side_x,ExtCondensTurbineOP.steam_temperature_side_y,BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.electricity_generation,BackPresTurbineOP.hp_steam_machine_opt_array,BackPresTurbineOP.electricity_machine_opt_array,BackPresTurbineOP.steam_pressure_in,BackPresTurbineOP.steam_temperature_in,BackPresTurbineOP.steam_pressure_out,BackPresTurbineOP.steam_temperature_out,CFBoilerOP.outlet_steam_flow_x,CFBoilerOP.outlet_steam_flow_y,CFBoilerOP.hp_steam_boiler_opt_array_x,CFBoilerOP.hp_steam_boiler_opt_array_y
2020/12/7 19:10,1.6775,0.879264381,16035.66237,15458.74648,576.915884,62.52333333,19.6125,77.10614775,20.919,-3,1,0.8,3.303333333,22.7024154,91.12083333,28.46416667,38.30416667,0,12.10916667,5.676666667,92.407,48.968,28.33940391,9.61E-12,12.90237439,9.1121,3.2775,3.291666667,428.5991667,428.5825,-91.42583333,-95.5175,46.57166667,35.42166667,0.85,0.404166667,324.8366667,310.7241667,32.76166667,1.303333333,47.54691051,1.904525613,3.3,439.8708333,0.81,336.485,76.75833333,74.275,78.24,75.32
2020/12/7 19:11,1.5125,0.879264381,15771.94561,15458.74648,313.1991265,61.59916667,19.8225,77.10614775,20.919,-3,1,0.801666667,3.316666667,22.9888008,91.36666667,28.715,37.9125,0,12.21,5.723333333,92.407,48.968,28.33940391,9.61E-12,12.90237439,9.1121,3.29,3.306666667,428.9966667,428.9966667,-91.4025,-95.48083333,46.505,35.35083333,0.85,0.409166667,324.9175,310.5458333,32.7575,1.306666667,47.54691051,1.904525613,3.314166667,440.165,0.81,336.73,77.06666667,74.4,78.24,75.32
2020/12/7 19:12,1.155,0.879264381,16442.43232,15458.74648,983.6858367,61.62666667,19.55833333,77.10614775,20.919,-3,1,0.81,3.305833333,22.700916,91.96583333,29.21166667,37.1375,0,12.44083333,5.851666667,92.407,48.968,28.33940391,9.61E-12,12.90237439,9.1121,3.284166667,3.2975,429.0733333,429.0833333,-91.37166667,-95.45583333,46.48833333,35.3425,0.8525,0.416666667,325.0566667,310.3458333,33.56833333,1.3625,47.54691051,1.904525613,3.305833333,440.4233333,0.816666667,336.9016667,77.86666667,75.43333333,78.24,75.32
2020/12/7 19:13,1.9525,0.879264381,15563.11121,15458.74648,104.3647326,61.28,20.41666667,77.10614775,20.919,-3,1,0.81,3.329166667,23.1417396,90.56833333,28.8825,36.55416667,0,12.22416667,5.769166667,92.407,48.968,28.33940391,9.61E-12,12.90237439,9.1121,3.3075,3.319166667,428.8533333,428.8533333,-91.35833333,-95.46916667,46.55333333,35.33,0.851666667,0.411666667,325.0691667,310.1983333,33.36333333,1.348333333,47.54691051,1.904525613,3.329166667,440.5316667,0.82,336.6925,76.74166667,74.71666667,78.24,75.32
2020/12/7 19:14,0.715,0.879264381,16107.61015,15182.9643,924.6458411,62.56333333,19.79,75.84783097,20.708,-3,1,0.811666667,3.3075,22.835862,92.29416667,29.38416667,36.29666667,0,12.62333333,5.883333333,92.107,49.182,29.88432885,3.54E-11,12.75773958,9.1811,3.286666667,3.3,428.5983333,428.5716667,-91.33416667,-95.4425,46.64833333,35.325,0.854166667,0.418333333,324.9766667,310.1975,33.90333333,1.3875,44.75383545,1.769160418,3.3075,440.765,0.82,336.7558333,78.175,75.93333333,77.89,75.43
2020/12/7 19:15,1.76,0.879264381,16776.53674,15182.9643,1593.572433,62.5575,20.23666667,75.84783097,20.708,-3,1,0.81,3.3325,22.7968776,90.7125,29.05666667,36.26083333,0,12.27916667,5.808333333,92.107,49.182,29.88432885,3.54E-11,12.75773958,9.1811,3.309166667,3.325,428.3025,428.3083333,-91.32166667,-95.425,46.7925,35.33,0.850833333,0.415833333,324.8958333,310.0883333,33.62666667,1.37,44.75383545,1.769160418,3.330833333,440.7233333,0.82,336.61,76.84166667,75.3,77.89,75.43
2020/12/7 19:16,2.1725,0.879264381,15957.52601,15182.9643,774.5617051,61.985,20.57416667,75.84783097,20.708,-3,1,0.81,3.355,23.1439887,91.25833333,29.39916667,36.9225,0,12.33083333,5.885833333,92.107,49.182,29.88432885,3.54E-11,12.75773958,9.1811,3.331666667,3.345833333,428.1133333,428.1133333,-91.31916667,-95.43583333,46.9475,35.33666667,0.8525,0.42,324.595,309.975,32.93833333,1.328333333,44.75383545,1.769160418,3.353333333,440.79,0.82,336.6366667,77,75.475,77.89,75.43
2020/12/7 19:17,1.2375,0.879264381,16046.58201,15182.9643,863.6177099,61.72333333,19.96583333,75.84783097,20.708,-3,1,0.810833333,3.344166667,23.10163065,92.14666667,29.7975,36.42166667,0,12.54833333,5.975,92.107,49.182,29.88432885,3.54E-11,12.75773958,9.1811,3.32,3.334166667,428.2291667,428.2366667,-91.30166667,-95.38666667,46.95333333,35.33416667,0.854166667,0.4275,324.4916667,309.9466667,33.67583333,1.384166667,44.75383545,1.769160418,3.343333333,440.8066667,0.82,336.7625,78.16666667,76.20833333,77.89,75.43
2020/12/7 19:18,1.38,0.879264381,16037.52624,15182.9643,854.5619327,61.23083333,20.17916667,75.84783097,20.708,-3,1,0.814545455,3.345454545,23.01391575,91.33,29.6925,35.6625,0,12.48083333,5.948333333,92.107,49.182,29.88432885,3.54E-11,12.75773958,9.1811,3.323333333,3.338333333,428.1125,428.1125,-91.29833333,-95.3875,47.00583333,35.34166667,0.854166667,0.426666667,324.4816667,309.7816667,33.8025,1.389166667,44.75383545,1.769160418,3.344166667,440.9066667,0.824166667,336.6308333,77.60833333,76.08333333,77.89,75.43
2020/12/7 19:19,1.155,0.879264381,15794.50002,15393.64669,400.8533315,63.3825,19.91166667,75.22353428,21.135,-3,1,0.81,3.346666667,22.9970475,92.1325,29.7925,36.54083333,0,12.51916667,5.984166667,92.053,49.777,27.70207745,-1.78E-11,12.9627182,9.3071,3.320833333,3.336666667,427.9683333,427.9666667,-91.29083333,-95.39,47.08916667,35.3725,0.854166667,0.43,324.2216667,309.6308333,33.6425,1.384166667,46.41229016,1.865181799,3.345,441.0308333,0.82,336.6108333,77.65,76.69166667,78.13,76.15
