time,SteamPipelineOP.electricity_power_ext,SteamPipelineOP.electricity_price_ext,SteamPipelineOP.total_cost_actual,SteamPipelineOP.total_cost_optim_array,SteamPipelineOP.lp_steam_actual,SteamPipelineOP.electricity_power_actual,SteamPipelineOP.lp_steam_pred_avg,SteamPipelineOP.electricity_power_pred_avg,SteamPipelineOP.electricity_power_ext_opt,SteamPipelineOP.optim_status,SteamPipelineOP.lp_steam_pressure,SteamPipelineOP.hp_steam_pressure,SteamPipelineOP.coal_consumption_hour,ExtCondensTurbineOP.steam_flow_in_x,ExtCondensTurbineOP.steam_flow_in_y,ExtCondensTurbineOP.steam_flow_side_x,ExtCondensTurbineOP.steam_flow_side_y,ExtCondensTurbineOP.electricity_generation_x,ExtCondensTurbineOP.electricity_generation_y,ExtCondensTurbineOP.hp_steam_machine_opt_array_x,ExtCondensTurbineOP.hp_steam_machine_opt_array_y,ExtCondensTurbineOP.lp_steam_machine_opt_array_x,ExtCondensTurbineOP.lp_steam_machine_opt_array_y,ExtCondensTurbineOP.electricity_machine_opt_array_x,ExtCondensTurbineOP.electricity_machine_opt_array_y,ExtCondensTurbineOP.steam_pressure_in_x,ExtCondensTurbineOP.steam_pressure_in_y,ExtCondensTurbineOP.steam_temperature_in_x,ExtCondensTurbineOP.steam_temperature_in_y,ExtCondensTurbineOP.steam_pressure_out_x,ExtCondensTurbineOP.steam_pressure_out_y,ExtCondensTurbineOP.steam_temperature_out_x,ExtCondensTurbineOP.steam_temperature_out_y,ExtCondensTurbineOP.steam_pressure_side_x,ExtCondensTurbineOP.steam_pressure_side_y,ExtCondensTurbineOP.steam_temperature_side_x,ExtCondensTurbineOP.steam_temperature_side_y,BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.electricity_generation,BackPresTurbineOP.hp_steam_machine_opt_array,BackPresTurbineOP.electricity_machine_opt_array,BackPresTurbineOP.steam_pressure_in,BackPresTurbineOP.steam_temperature_in,BackPresTurbineOP.steam_pressure_out,BackPresTurbineOP.steam_temperature_out,CFBoilerOP.outlet_steam_flow_x,CFBoilerOP.outlet_steam_flow_y,CFBoilerOP.hp_steam_boiler_opt_array_x,CFBoilerOP.hp_steam_boiler_opt_array_y
2020-12-08 01:49:00,-0.30000000000000004,0.28351216814,13625.926979589334,12832.62854440639,57.02916666666666,17.34,69.97429432624114,17.962000000000003,4.824958801725356,1.0,0.8590909090909092,3.3663636363636367,21.468076000000003,78.02999999999999,29.864999999999995,28.449166666666667,0.0,10.823333333333332,5.971666666666668,60.000000000186205,29.71333333334884,39.99999999989925,4.876728582611751e-12,6.418451000040797,5.646100000002308,3.3375,3.3433333333333337,425.60083333333336,425.60083333333336,-92.84416666666668,-95.71749999999999,44.44416666666667,35.4675,0.8783333333333334,0.4291666666666667,317.0883333333333,307.3783333333334,36.23333333333333,1.4991666666666668,29.974294326337006,1.0724901982315422,3.348333333333334,437.51416666666677,0.8699999999999998,334.49999999999994,71.89166666666665,71.75833333333333,71.78,72.05
2020-12-08 01:50:00,-0.44,0.397,13520.027777664,12832.62854440639,56.794166666666676,17.088333333333335,69.97429432624114,17.962000000000003,4.824958801725356,1.0,0.86,3.3850000000000002,21.54138,78.07333333333334,30.093333333333334,29.589166666666667,0.0,10.730000000000002,6.025833333333334,60.000000000186205,29.71333333334884,39.99999999989925,4.876728582611751e-12,6.418451000040797,5.646100000002308,3.361666666666667,3.3666666666666667,425.5308333333333,425.535,-92.95333333333333,-95.71916666666668,44.31583333333333,35.419999999999995,0.8833333333333334,0.43083333333333335,316.6666666666667,307.04749999999996,35.58416666666667,1.4658333333333333,29.974294326337006,1.0724901982315422,3.370833333333333,437.5291666666667,0.8716666666666667,334.4266666666666,71.95,71.425,71.78,72.05
2020-12-08 01:51:00,-0.6325000000000001,0.28351216814,13515.273594688004,12832.62854440639,53.81666666666667,16.884166666666665,69.97429432624114,17.962000000000003,4.824958801725356,1.0,0.8649999999999999,3.3791666666666664,21.336462,77.5425,30.313333333333333,27.854166666666668,0.0,10.839999999999998,6.070833333333333,60.000000000186205,29.71333333334884,39.99999999989925,4.876728582611751e-12,6.418451000040797,5.646100000002308,3.3574999999999995,3.3583333333333325,425.3733333333334,425.3733333333334,-92.89916666666669,-95.69416666666667,44.151666666666664,35.39083333333333,0.8825000000000002,0.43583333333333335,316.26750000000004,306.86500000000007,35.78916666666667,1.47,29.974294326337006,1.0724901982315422,3.367500000000001,437.5858333333333,0.8783333333333334,334.47583333333336,71.26666666666667,71.99166666666666,71.78,72.05
2020-12-08 01:52:00,-0.5225000000000001,0.28351216814,13479.41329118933,12832.62854440639,52.70083333333334,17.10166666666667,69.97429432624114,17.962000000000003,4.824958801725356,1.0,0.8725000000000002,3.3866666666666667,21.29148,77.24666666666668,30.24666666666667,26.793333333333337,0.0,10.8825,6.051666666666666,60.000000000186205,29.71333333334884,39.99999999989925,4.876728582611751e-12,6.418451000040797,5.646100000002308,3.360833333333334,3.3633333333333333,424.7708333333333,424.8041666666666,-92.86833333333333,-95.68500000000002,44.027499999999996,35.36583333333333,0.8883333333333333,0.43249999999999994,315.79749999999996,306.71583333333336,35.469166666666666,1.4433333333333331,29.974294326337006,1.0724901982315422,3.3725,437.77666666666664,0.8833333333333334,334.7241666666667,70.16666666666667,72.40833333333335,71.78,72.05
2020-12-08 01:53:00,-0.41250000000000003,0.28351216814,13417.445043061334,12832.62854440639,51.11249999999999,17.344999999999995,69.97429432624114,17.962000000000003,4.824958801725356,1.0,0.8791666666666668,3.3683333333333336,21.018256,76.29249999999999,30.05,24.338333333333335,0.0,10.953333333333333,6.020833333333333,60.000000000186205,29.71333333334884,39.99999999989925,4.876728582611751e-12,6.418451000040797,5.646100000002308,3.346666666666667,3.348333333333333,423.82666666666665,423.82666666666665,-92.79749999999997,-95.67166666666667,44.01166666666666,35.34333333333334,0.8891666666666667,0.43333333333333335,315.4225,306.56416666666667,36.04166666666667,1.4633333333333336,29.974294326337006,1.0724901982315422,3.3550000000000004,437.97666666666674,0.8900000000000001,335.02333333333337,69.18333333333332,72.66666666666667,71.78,72.05
2020-12-08 01:54:00,-0.24750000000000003,0.28351216814,13324.987977845334,12473.293947479602,50.98666666666667,17.256666666666668,66.07542198581561,17.844,4.806557920186594,1.0,0.8825000000000002,3.375833333333334,20.979937999999997,74.91083333333334,30.076666666666664,23.198333333333334,0.0,10.771666666666667,6.028333333333332,60.00000000009239,30.32100000000848,39.99999999993374,1.1020635237707994e-12,6.436708200021626,5.753100000001426,3.3533333333333335,3.3558333333333334,422.9583333333333,422.9583333333333,-92.79666666666664,-95.69166666666668,44.125,35.339166666666664,0.8900000000000001,0.43,315.18833333333333,306.42083333333335,35.77,1.4341666666666664,25.669755319214083,0.8476338797903542,3.363333333333333,438.0516666666667,0.8983333333333335,335.27833333333336,67.85000000000001,72.33333333333333,70.16,72.36
2020-12-08 01:55:00,-0.30250000000000005,0.28351216814,13231.761027573333,12473.293947479602,48.93333333333333,17.256666666666668,66.07542198581561,17.844,4.806557920186594,1.0,0.8900000000000001,3.3866666666666667,20.899970000000003,74.68083333333334,30.2075,22.30666666666667,0.0,10.813333333333333,6.048333333333333,60.00000000009239,30.32100000000848,39.99999999993374,1.1020635237707994e-12,6.436708200021626,5.753100000001426,3.3641666666666663,3.366666666666667,422.5275,422.5275,-92.7958333333333,-95.6825,44.290833333333346,35.244166666666665,0.8900000000000001,0.4308333333333334,315.04,306.39,35.446666666666665,1.4133333333333333,25.669755319214083,0.8476338797903542,3.3741666666666674,438.1683333333333,0.9000000000000002,335.7991666666666,67.68333333333334,72.20833333333333,70.16,72.36
2020-12-08 01:56:00,-0.385,0.28351216814,13322.860172996,12473.293947479602,48.52583333333333,17.199166666666667,66.07542198581561,17.844,4.806557920186594,1.0,0.8900000000000001,3.4008333333333325,20.94995,74.24583333333332,30.315,21.250833333333333,0.0,10.819166666666662,6.085,60.00000000009239,30.32100000000848,39.99999999993374,1.1020635237707994e-12,6.436708200021626,5.753100000001426,3.3783333333333334,3.3799999999999994,422.92333333333335,422.93666666666667,-92.78749999999998,-95.66583333333331,44.37833333333332,35.2925,0.8925000000000001,0.43333333333333335,314.99916666666667,306.3591666666667,35.15833333333334,1.3933333333333335,25.669755319214083,0.8476338797903542,3.385,438.29333333333335,0.9000000000000002,336.27,67.7,71.73333333333333,70.16,72.36
2020-12-08 01:57:00,-0.165,0.28351216814,13281.188052736,12473.293947479602,47.964999999999996,17.503333333333334,66.07542198581561,17.844,4.806557920186594,1.0,0.8900000000000001,3.4150000000000005,21.169861999999995,74.4775,30.468333333333334,21.006666666666664,0.0,10.92,6.105,60.00000000009239,30.32100000000848,39.99999999993374,1.1020635237707994e-12,6.436708200021626,5.753100000001426,3.39,3.3925,423.4025,423.4025,-92.77833333333332,-95.66083333333334,44.5,35.24333333333333,0.8941666666666669,0.4391666666666667,315.005,306.37833333333333,35.071666666666665,1.3908333333333338,25.669755319214083,0.8476338797903542,3.398333333333333,438.48499999999996,0.9000000000000002,336.6766666666666,67.96666666666667,71.80833333333332,70.16,72.36
2020-12-08 01:58:00,-0.715,0.397,13168.735412268,12473.293947479602,46.90416666666666,17.315,66.07542198581561,17.844,4.806557920186594,1.0,0.8966666666666668,3.4141666666666666,21.286482,75.28583333333334,30.35166666666667,19.79083333333333,0.0,11.257499999999999,6.09,60.00000000009239,30.32100000000848,39.99999999993374,1.1020635237707994e-12,6.436708200021626,5.753100000001426,3.391666666666666,3.3941666666666666,423.84083333333336,423.84083333333336,-92.76333333333332,-95.64916666666666,44.70166666666666,35.288333333333334,0.9000000000000002,0.43416666666666676,314.96,306.36,35.63,1.4291666666666665,25.669755319214083,0.8476338797903542,3.4008333333333334,438.68249999999995,0.9083333333333333,336.955,68.81666666666666,72.35833333333333,70.16,72.36
