time,ExtCondensTurbineOP.steam_flow_in_x,ExtCondensTurbineOP.steam_flow_in_y,ExtCondensTurbineOP.steam_flow_side_x,ExtCondensTurbineOP.steam_flow_side_y,ExtCondensTurbineOP.electricity_generation_x,ExtCondensTurbineOP.electricity_generation_y,SteamPipelineOP.coal_consumption_hour,SteamPipelineOP.electricity_power_ext,SteamPipelineOP.electricity_price_ext,ExtCondensTurbineOP.hp_steam_machine_opt_array_x,ExtCondensTurbineOP.hp_steam_machine_opt_array_y,ExtCondensTurbineOP.lp_steam_machine_opt_array_x,ExtCondensTurbineOP.lp_steam_machine_opt_array_y,ExtCondensTurbineOP.electricity_machine_opt_array_x,ExtCondensTurbineOP.electricity_machine_opt_array_y
2020-12-01 23:14:00,81.6675,81.55916666666668,36.78916666666667,26.420833333333334,10.737500000000002,10.336666666666668,23.52952381818182,-0.165,0.54253871681,69.99999999999417,82.39777777777844,36.292222222223,24.94580969267141,8.457791111110039,10.304274045508397
2020-12-01 23:15:00,80.18999999999998,81.56916666666666,36.35583333333333,27.440833333333334,10.489166666666668,10.275833333333333,23.818801999999998,0.165,0.54253871681,69.99999999999417,82.39777777777844,36.292222222223,24.94580969267141,8.457791111110039,10.304274045508397
2020-12-01 23:16:00,81.73833333333333,81.625,36.946666666666665,26.257499999999997,10.755833333333333,10.387500000000001,23.627817818181814,-0.33,0.54253871681,69.99999999999417,82.39777777777844,36.292222222223,24.94580969267141,8.457791111110039,10.304274045508397
2020-12-01 23:17:00,80.79083333333334,81.625,36.516666666666666,27.0525,10.62,10.305833333333334,23.42532309090909,-0.24750000000000003,0.54253871681,69.99999999999417,82.39777777777844,36.292222222223,24.94580969267141,8.457791111110039,10.304274045508397
2020-12-01 23:18:00,79.55166666666666,81.78083333333333,35.9675,27.173333333333336,10.427499999999998,10.335833333333333,23.128926545454544,0.0,0.54253871681,69.99999999999417,82.39777777777844,36.292222222223,24.94580969267141,8.457791111110039,10.304274045508397
2020-12-01 23:19:00,77.925,82.05666666666666,34.42583333333334,27.50833333333333,10.288333333333336,10.437500000000002,23.379583818181818,-0.055,0.54253871681,69.99999999999719,82.6090909090912,37.544545454545805,29.26691790242882,8.333348181817666,9.93914597066411
2020-12-01 23:20:00,79.71166666666667,82.03166666666667,34.8975,26.469166666666666,10.565,10.565,23.713692545454546,-0.7200000000000001,0.397,69.99999999999719,82.6090909090912,37.544545454545805,29.26691790242882,8.333348181817666,9.93914597066411
2020-12-01 23:21:00,82.145,81.80833333333334,35.37166666666667,25.30666666666667,11.032499999999999,10.596666666666666,23.700516,-0.8525,0.397,69.99999999999719,82.6090909090912,37.544545454545805,29.26691790242882,8.333348181817666,9.93914597066411
2020-12-01 23:22:00,81.37583333333333,81.60666666666667,33.83833333333333,25.38416666666667,10.959166666666667,10.507499999999999,23.527252,-1.32,0.397,69.99999999999719,82.6090909090912,37.544545454545805,29.26691790242882,8.333348181817666,9.93914597066411
2020-12-01 23:23:00,80.75083333333335,81.49416666666666,34.119166666666665,25.516666666666666,10.813333333333333,10.462499999999999,23.518922000000003,-0.7425,0.54253871681,69.99999999999719,82.6090909090912,37.544545454545805,29.26691790242882,8.333348181817666,9.93914597066411
