,SteamPipelineOP.electricity_power_ext
2020-09-06 06:00:00,-1.191404011461318
2020-09-06 07:00:00,-1.2790546528803544
2020-09-06 08:00:00,-0.22720524017467245
2020-09-06 09:00:00,0.44145374449339214
2020-09-06 10:00:00,0.2896982758620691
2020-09-06 11:00:00,-0.31617052023121384
2020-09-06 12:00:00,-0.7333866279069765
2020-09-06 13:00:00,-0.16047619047619044
2020-09-06 14:00:00,0.7664825581395353
2020-09-06 15:00:00,-0.01587463556851311
2020-09-06 16:00:00,-0.15776315789473683
2020-09-06 17:00:00,-0.10441219158200292
2020-09-06 18:00:00,-0.3094942196531792
2020-09-06 19:00:00,0.2071532846715329
2020-09-06 20:00:00,0.45008595988538685
2020-09-06 21:00:00,0.2949137931034483
2020-09-06 22:00:00,0.529913043478261
2020-09-06 23:00:00,-0.09206008583690986
2020-09-07 00:00:00,0.10902654867256634
2020-09-07 01:00:00,-0.9320142857142861
2020-09-07 02:00:00,-0.7537219730941705
2020-09-07 03:00:00,0.23689807976366326
2020-09-07 04:00:00,0.28278832116788316
2020-09-07 05:00:00,0.1690359712230216
2020-09-07 06:00:00,0.6566473149492018
2020-09-07 07:00:00,2.14618025751073
2020-09-07 08:00:00,5.0110043668122275
2020-09-07 09:00:00,5.8805619596541785
2020-09-07 10:00:00,5.264125364431488
2020-09-07 11:00:00,3.7164399421128804
