time,ExtCondensTurbineOP.lp_steam_machine_opt_array_x,ExtCondensTurbineOP.steam_temperature_in_x,BackPresTurbineOP.electricity_generation,ExtCondensTurbineOP.electricity_generation_x,ExtCondensTurbineOP.steam_temperature_side_x,SteamPipelineOP.lp_steam_pred_avg,SteamPipelineOP.electricity_power_pred_avg,ExtCondensTurbineOP.steam_pressure_side_x,BackPresTurbineOP.steam_pressure_in,CFBoilerOP.outlet_steam_flow_x,ExtCondensTurbineOP.electricity_machine_opt_array_x,ExtCondensTurbineOP.steam_temperature_in_y,ExtCondensTurbineOP.steam_temperature_out_x,ExtCondensTurbineOP.electricity_machine_opt_array_y,ExtCondensTurbineOP.lp_steam_machine_opt_array_y,SteamPipelineOP.lp_steam_pressure,BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.steam_temperature_out,SteamPipelineOP.coal_consumption_hour,SteamPipelineOP.electricity_power_ext_opt,ExtCondensTurbineOP.electricity_generation_y,ExtCondensTurbineOP.steam_flow_side_x,ExtCondensTurbineOP.steam_pressure_in_x,ExtCondensTurbineOP.steam_pressure_out_x,ExtCondensTurbineOP.steam_flow_in_x,CFBoilerOP.hp_steam_boiler_opt_array_x,BackPresTurbineOP.steam_pressure_out,ExtCondensTurbineOP.hp_steam_machine_opt_array_x,BackPresTurbineOP.hp_steam_machine_opt_array,ExtCondensTurbineOP.steam_flow_side_y,SteamPipelineOP.hp_steam_pressure,BackPresTurbineOP.steam_temperature_in,CFBoilerOP.outlet_steam_flow_y,SteamPipelineOP.lp_steam_actual,ExtCondensTurbineOP.steam_pressure_out_y,SteamPipelineOP.electricity_power_actual,SteamPipelineOP.electricity_power_ext,ExtCondensTurbineOP.steam_pressure_in_y,SteamPipelineOP.total_cost_actual,SteamPipelineOP.total_cost_optim_array,CFBoilerOP.hp_steam_boiler_opt_array_y,ExtCondensTurbineOP.steam_flow_in_y,SteamPipelineOP.optim_status,BackPresTurbineOP.electricity_machine_opt_array,ExtCondensTurbineOP.steam_temperature_out_y,ExtCondensTurbineOP.steam_temperature_side_y,ExtCondensTurbineOP.hp_steam_machine_opt_array_y,ExtCondensTurbineOP.steam_pressure_side_y,SteamPipelineOP.electricity_price_ext
2020-12-11 00:00:00,-3.482568400325903e-11,432.77,1.966666666666667,9.440833333333332,319.56166666666667,79.51002364066194,20.734,0.7808333333333334,3.1300000000000003,78.50833333333334,8.435017055199383,432.7775,40.15583333333333,10.44071199999765,35.00000000001107,0.7833333333333333,45.151666666666664,327.62333333333333,22.280084400000003,2.62323496258432e-12,6.961666666666667,30.485,3.1266666666666665,-94.08666666666666,33.94916666666666,80.0,0.8183333333333335,68.69986480205712,44.06852364068569,0.0,3.148333333333333,433.57500000000005,70.89999999999999,63.97833333333333,-93.73166666666667,19.729166666666668,2.0349999999999997,3.1225,14981.333231233446,15591.333916686024,77.32,71.4975,1.0,1.8582709448003436,40.19833333333333,257.0958333333333,49.99999999998868,0.6225000000000002,0.28351216814
2020-12-11 00:01:00,-3.482568400325903e-11,433.6608333333333,1.9725,9.525,319.30749999999995,79.51002364066194,20.734,0.7800000000000001,3.1858333333333335,78.30833333333334,8.435017055199383,433.6608333333333,40.169999999999995,10.44071199999765,35.00000000001107,0.7883333333333334,44.453333333333326,327.2041666666666,22.970807999999995,2.62323496258432e-12,6.857500000000001,30.983333333333334,3.18,-94.17083333333335,33.48083333333333,80.0,0.8200000000000002,68.69986480205712,44.06852364068569,0.0,3.204166666666667,433.81249999999994,70.55,64.44583333333333,-93.73833333333333,19.74833333333333,2.2824999999999998,3.1791666666666667,15305.418069432953,15591.333916686024,77.32,72.01833333333332,1.0,1.8582709448003436,39.788333333333334,256.2941666666667,49.99999999998868,0.59,0.28351216814
2020-12-11 00:02:00,-3.482568400325903e-11,434.56916666666666,1.955,9.82,319.13166666666666,79.51002364066194,20.734,0.7825000000000001,3.165833333333333,80.625,8.435017055199383,434.56916666666666,40.204166666666666,10.44071199999765,35.00000000001107,0.7866666666666666,44.355,326.97916666666663,23.117749200000002,2.62323496258432e-12,7.6725,30.153333333333332,3.164166666666666,-94.085,37.215833333333336,80.0,0.8175000000000002,68.69986480205712,44.06852364068569,0.0,3.183333333333334,434.4983333333334,72.60833333333333,63.94,-93.7275,20.159166666666668,1.6224999999999998,3.1575,15243.584637162225,15591.333916686024,77.32,72.885,1.0,1.8582709448003436,39.373333333333335,256.34,49.99999999998868,0.62,0.28351216814
2020-12-11 00:03:00,-3.482568400325903e-11,434.85083333333336,1.9933333333333334,9.941666666666666,319.2316666666667,79.51002364066194,20.734,0.7858333333333333,3.17,81.03333333333335,8.435017055199383,434.85083333333336,40.329166666666666,10.44071199999765,35.00000000001107,0.7875,45.06583333333333,326.99249999999995,23.006793599999998,2.62323496258432e-12,7.5633333333333335,30.015833333333333,3.1666666666666665,-94.02833333333332,36.71833333333334,80.0,0.8200000000000002,68.69986480205712,44.06852364068569,0.0,3.186666666666666,434.9383333333333,72.95,63.235833333333325,-93.70666666666669,20.1125,1.32,3.16,15124.334999116147,15591.333916686024,77.32,73.41166666666668,1.0,1.8582709448003436,39.092499999999994,257.24916666666667,49.99999999998868,0.6325,0.28351216814
2020-12-11 00:04:00,5.480060849549773e-12,434.4941666666667,2.0108333333333333,9.845833333333333,319.31,80.64607683215131,21.011666666666667,0.7875,3.185,80.78333333333332,8.030237799999933,434.4941666666667,40.548333333333325,7.67249999999994,34.99999999999915,0.79,45.31916666666667,326.9674999999999,23.105754,3.313199694681229,7.5125,29.089166666666667,3.1824999999999997,-93.98750000000001,36.532500000000006,80.0,0.8241666666666667,64.99999999999919,45.10507683214666,0.0,3.2025,434.9641666666666,72.55833333333334,61.73749999999999,-93.6991666666667,20.050833333333333,1.2650000000000001,3.1750000000000003,15170.745064847484,15050.976128753071,73.32000000000001,72.44500000000001,1.0,1.9957291719855688,39.009166666666665,257.105,37.215833333333045,0.6275000000000001,0.28351216814
2020-12-11 00:05:00,5.480060849549773e-12,434.0449999999999,2.018333333333333,9.948333333333332,319.1408333333333,80.64607683215131,21.011666666666667,0.79,3.199166666666667,81.44166666666666,8.030237799999933,434.0449999999999,40.77166666666667,7.67249999999994,34.99999999999915,0.7949999999999999,45.39083333333334,326.8641666666666,23.0427792,3.313199694681229,7.764166666666668,27.695000000000004,3.1975000000000002,-93.93666666666668,37.6225,80.0,0.8300000000000001,64.99999999999919,45.10507683214666,0.0,3.2191666666666667,434.95666666666654,72.80833333333334,60.57,-93.69083333333337,19.825833333333332,0.715,3.1891666666666665,14940.156439874634,15050.976128753071,73.32000000000001,72.18083333333334,1.0,1.9957291719855688,38.95916666666667,256.84083333333336,37.215833333333045,0.6325000000000002,0.28351216814
2020-12-11 00:06:00,5.480060849549773e-12,433.9508333333333,2.03,10.126666666666665,318.98583333333335,80.64607683215131,21.011666666666667,0.79,3.2166666666666663,80.93333333333334,8.030237799999933,433.9583333333333,40.928333333333335,7.67249999999994,34.99999999999915,0.7999999999999999,45.49416666666667,326.8324999999999,23.060772000000004,3.313199694681229,7.508333333333333,26.574166666666667,3.2166666666666663,-93.88666666666666,36.471666666666664,80.0,0.8300000000000001,64.99999999999919,45.10507683214666,0.0,3.236666666666667,434.75666666666666,72.7,59.97416666666666,-93.67083333333333,19.780833333333334,0.5225000000000001,3.2083333333333335,14952.779230797301,15050.976128753071,73.32000000000001,72.5,1.0,1.9957291719855688,38.9375,257.02,37.215833333333045,0.6291666666666668,0.28351216814
2020-12-11 00:07:00,5.480060849549773e-12,434.12833333333333,2.0258333333333334,10.1675,318.88916666666665,80.64607683215131,21.011666666666667,0.7916666666666666,3.231666666666667,80.63333333333334,8.030237799999933,434.12833333333333,41.130833333333335,7.67249999999994,34.99999999999915,0.7999999999999999,45.26833333333334,326.85166666666663,22.610952,3.313199694681229,7.6000000000000005,25.715833333333336,3.231666666666667,-93.84083333333332,36.817499999999995,80.0,0.8333333333333334,64.99999999999919,45.10507683214666,0.0,3.251666666666667,434.9716666666666,72.90833333333333,59.422500000000014,-93.64333333333333,19.986666666666665,0.55,3.223333333333333,14621.224546739524,15050.976128753071,73.32000000000001,72.18416666666667,1.0,1.9957291719855688,38.9075,256.865,37.215833333333045,0.6275000000000001,0.28351216814
2020-12-11 00:08:00,5.480060849549773e-12,434.615,2.0275,9.873333333333333,318.93499999999995,80.64607683215131,21.011666666666667,0.7916666666666669,3.2858333333333327,79.27499999999999,8.030237799999933,434.615,41.36666666666667,7.67249999999994,34.99999999999915,0.7999999999999999,44.596666666666664,326.82749999999993,22.425026400000004,3.313199694681229,7.445,25.208333333333332,3.2858333333333327,-93.81416666666665,35.96333333333333,80.0,0.8316666666666667,64.99999999999919,45.10507683214666,0.0,3.307,435.3566666666666,71.69166666666666,58.921666666666674,-93.6375,19.496666666666666,0.462,3.278333333333333,14573.805069043725,15050.976128753071,73.32000000000001,70.79416666666667,1.0,1.9957291719855688,38.87166666666666,256.37166666666667,37.215833333333045,0.6033333333333334,0.28351216814
2020-12-11 00:09:00,6.5782934655089775e-12,435.26499999999993,2.0416666666666665,9.434166666666668,319.4775,76.06082624113476,20.328999999999997,0.7908333333333332,3.3425,78.05,8.54573478203297,435.26499999999993,41.561666666666675,7.664999999999957,30.151881796689317,0.7999999999999999,44.03916666666667,326.7524999999999,22.294578599999998,2.0938207735229235,7.6791666666666645,24.11583333333333,3.3425,-93.76583333333332,37.18,80.0,0.8316666666666667,64.99999999999878,45.30111111110554,0.0,3.364166666666667,435.8958333333333,70.95833333333333,58.357499999999995,-93.63583333333334,19.786666666666665,1.1,3.334166666666667,14320.694402021527,14711.704442392054,73.8,67.67333333333333,1.0,2.0244444444441467,38.84166666666666,257.09166666666664,37.0869999999998,0.6458333333333334,0.28351216814
