,BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.steam_pressure_in,BackPresTurbineOP.steam_temperature_in,BackPresTurbineOP.electricity_generation,BackPresTurbineOP.steam_pressure_out,BackPresTurbineOP.steam_temperature_out
2020-09-04 00:00:00,30.74090909090909,3.0481818181818174,435.9709090909091,1.070909090909091,0.7627272727272726,339.15727272727275
2020-09-04 00:01:00,29.781818181818178,3.08,435.25636363636363,1.0236363636363635,0.7599999999999999,339.01
2020-09-04 00:02:00,30.659,3.0509999999999993,434.73,1.0699999999999998,0.7599999999999999,338.86199999999997
2020-09-04 00:03:00,29.625,3.063333333333333,434.4066666666667,1.0116666666666665,0.7583333333333333,338.45166666666665
2020-09-04 00:04:00,29.84166666666667,3.0416666666666665,433.8283333333333,1.01,0.75,337.48333333333335
2020-09-04 00:05:00,29.7025,3.066666666666667,433.54999999999995,1.0233333333333332,0.75,337.43249999999995
2020-09-04 00:06:00,29.616999999999997,3.0740000000000003,433.36,1.021,0.75,337.361
2020-09-04 00:07:00,29.35083333333333,3.06,433.73166666666674,0.9916666666666668,0.7533333333333333,337.3275
2020-09-04 00:08:00,29.257499999999997,3.035,434.2008333333334,0.9625,0.7599999999999999,337.64833333333337
2020-09-04 00:09:00,29.3025,3.051666666666667,434.83166666666654,0.9674999999999999,0.7616666666666666,338.22499999999997
2020-09-04 00:10:00,29.057,3.0130000000000003,435.38100000000003,0.9280000000000002,0.771,338.75399999999996
2020-09-04 00:11:00,29.324545454545458,2.9781818181818185,436.01636363636356,0.922727272727273,0.7809090909090911,339.7054545454546
2020-09-04 00:12:00,31.765,2.9574999999999996,436.4983333333333,1.0516666666666667,0.79,340.2608333333333
2020-09-04 00:13:00,31.171818181818175,2.99,437.0427272727274,1.0199999999999998,0.7963636363636364,340.53090909090906
2020-09-04 00:14:00,31.69181818181818,3.0909090909090917,437.8609090909091,1.1154545454545455,0.7863636363636364,340.71727272727276
2020-09-04 00:15:00,30.12166666666666,3.108333333333333,439.1941666666667,1.0333333333333334,0.7800000000000001,340.415
2020-09-04 00:16:00,31.242499999999996,3.1075,440.8116666666667,1.1141666666666667,0.7733333333333331,340.4841666666666
2020-09-04 00:17:00,29.71416666666666,3.0841666666666665,442.1266666666666,1.02,0.7666666666666666,340.7391666666667
2020-09-04 00:18:00,30.290909090909096,3.040909090909091,442.98363636363644,1.049090909090909,0.7599999999999999,341.4736363636364
2020-09-04 00:19:00,30.173999999999996,3.037,443.3790000000001,1.0399999999999998,0.754,341.7
2020-09-04 00:20:00,29.633333333333326,3.049166666666667,443.5066666666667,1.0225,0.75,342.14833333333337
2020-09-04 00:21:00,30.821818181818177,3.0136363636363637,443.6736363636364,1.0881818181818181,0.75,342.36909090909097
2020-09-04 00:22:00,29.480909090909094,3.042727272727272,443.9372727272728,1.0136363636363634,0.75,342.41
2020-09-04 00:23:00,29.544999999999998,3.0574999999999997,444.20166666666665,1.0249999999999997,0.75,342.8683333333333
2020-09-04 00:24:00,29.530000000000005,3.0581818181818177,444.5736363636364,1.0227272727272725,0.75,343.25636363636363
2020-09-04 00:25:00,29.52,3.035833333333333,444.8158333333334,1.0075,0.75,343.6758333333333
2020-09-04 00:26:00,30.638333333333335,3.0725000000000002,444.9108333333333,1.0999999999999999,0.7558333333333332,343.89750000000004
2020-09-04 00:27:00,29.526999999999997,3.0769999999999995,444.96000000000004,1.015,0.7599999999999999,343.897
2020-09-04 00:28:00,29.38181818181818,3.0781818181818177,444.8054545454546,0.9881818181818184,0.7699999999999999,344.4290909090909
2020-09-04 00:29:00,29.181818181818183,3.0827272727272725,444.54636363636365,0.9727272727272727,0.7699999999999999,345.100909090909
2020-09-04 00:30:00,28.815999999999995,3.0719999999999996,444.16,0.9349999999999999,0.7699999999999999,345.71399999999994
2020-09-04 00:31:00,28.71272727272727,3.0654545454545454,443.60090909090906,0.920909090909091,0.7699999999999999,346.4454545454546
2020-09-04 00:32:00,28.544166666666666,3.0366666666666666,443.1616666666667,0.8991666666666668,0.7699999999999999,346.94166666666666
2020-09-04 00:33:00,28.512,3.028,442.57199999999995,0.89,0.7760000000000001,347.424
2020-09-04 00:34:00,28.613000000000007,3.0080000000000005,441.909,0.8930000000000001,0.7800000000000001,347.706
2020-09-04 00:35:00,28.90636363636364,2.9990909090909095,441.2681818181818,0.9090909090909091,0.7800000000000001,347.83909090909094
2020-09-04 00:36:00,29.073636363636364,2.9918181818181817,440.7945454545454,0.9227272727272727,0.7800000000000001,347.72363636363633
2020-09-04 00:37:00,29.226363636363633,2.995454545454545,440.4218181818182,0.9427272727272729,0.7699999999999999,347.4345454545455
2020-09-04 00:38:00,30.37272727272727,2.9845454545454544,440.1218181818181,1.030909090909091,0.7699999999999999,346.89000000000004
2020-09-04 00:39:00,30.935,2.975,439.9491666666667,1.0466666666666666,0.7699999999999999,345.74916666666667
2020-09-04 00:40:00,30.997999999999998,2.975,439.75999999999993,1.0509999999999997,0.7689999999999999,344.82900000000006
2020-09-04 00:41:00,29.29888888888889,3.0111111111111106,439.4944444444444,0.9622222222222222,0.7599999999999999,344.5044444444445
2020-09-04 00:42:00,29.282999999999998,3.0100000000000002,439.21000000000004,0.9670000000000002,0.7599999999999999,344.51700000000005
2020-09-04 00:43:00,29.269090909090913,2.9990909090909086,438.8354545454545,0.9654545454545456,0.7599999999999999,344.3863636363637
2020-09-04 00:44:00,29.465454545454545,2.9881818181818187,438.37727272727267,0.9809090909090908,0.7545454545454546,344.16545454545457
