time,SteamPipelineOP.hp_steam_pressure
2020-10-01 00:00:00,3.33
2020-10-01 00:01:00,3.3758333333333326
2020-10-01 00:02:00,3.3909090909090907
2020-10-01 00:03:00,3.3800000000000003
2020-10-01 00:04:00,3.3358333333333334
2020-10-01 00:05:00,3.3258333333333336
2020-10-01 00:06:00,3.374166666666666
2020-10-01 00:07:00,3.4091666666666676
2020-10-01 00:08:00,3.431666666666666
2020-10-01 00:09:00,3.4525
2020-10-01 00:10:00,3.465833333333333
2020-10-01 00:11:00,3.4641666666666673
2020-10-01 00:12:00,3.4491666666666667
2020-10-01 00:13:00,3.435833333333333
2020-10-01 00:14:00,3.4216666666666664
2020-10-01 00:15:00,3.403333333333333
2020-10-01 00:16:00,3.373333333333333
2020-10-01 00:17:00,3.3783333333333334
2020-10-01 00:18:00,3.385
2020-10-01 00:19:00,3.3833333333333333
2020-10-01 00:20:00,3.3750000000000004
2020-10-01 00:21:00,3.3783333333333325
2020-10-01 00:22:00,3.3633333333333333
2020-10-01 00:23:00,3.3541666666666665
2020-10-01 00:24:00,3.36
2020-10-01 00:25:00,3.358333333333333
2020-10-01 00:26:00,3.3627272727272723
2020-10-01 00:27:00,3.3590909090909093
2020-10-01 00:28:00,3.359090909090909
2020-10-01 00:29:00,3.3666666666666667
2020-10-01 00:30:00,3.3783333333333334
2020-10-01 00:31:00,3.3790909090909085
2020-10-01 00:32:00,3.3716666666666666
2020-10-01 00:33:00,3.3841666666666668
2020-10-01 00:34:00,3.3908333333333336
2020-10-01 00:35:00,3.3990909090909085
2020-10-01 00:36:00,3.4025
2020-10-01 00:37:00,3.405
2020-10-01 00:38:00,3.4
2020-10-01 00:39:00,3.404166666666667
2020-10-01 00:40:00,3.4125
2020-10-01 00:41:00,3.4208333333333343
2020-10-01 00:42:00,3.428181818181818
2020-10-01 00:43:00,3.435
2020-10-01 00:44:00,3.4441666666666664
2020-10-01 00:45:00,3.4358333333333335
2020-10-01 00:46:00,3.454166666666667
2020-10-01 00:47:00,3.472499999999999
2020-10-01 00:48:00,3.48
2020-10-01 00:49:00,3.4875000000000003
2020-10-01 00:50:00,3.469166666666666
2020-10-01 00:51:00,3.467272727272728
2020-10-01 00:52:00,3.4427272727272733
2020-10-01 00:53:00,3.4333333333333336
2020-10-01 00:54:00,3.4333333333333336
2020-10-01 00:55:00,3.4299999999999997
2020-10-01 00:56:00,3.4075
2020-10-01 00:57:00,3.4025
2020-10-01 00:58:00,3.4263636363636363
2020-10-01 00:59:00,3.446
2020-10-01 01:00:00,3.4525000000000006
2020-10-01 01:01:00,3.4308333333333327
2020-10-01 01:02:00,3.435
2020-10-01 01:03:00,3.455454545454546
2020-10-01 01:04:00,3.4625
2020-10-01 01:05:00,3.4508333333333336
2020-10-01 01:06:00,3.4625
2020-10-01 01:07:00,3.464166666666666
2020-10-01 01:08:00,3.4591666666666665
2020-10-01 01:09:00,3.479166666666666
2020-10-01 01:10:00,3.4841666666666673
2020-10-01 01:11:00,3.478333333333334
2020-10-01 01:12:00,3.4608333333333334
2020-10-01 01:13:00,3.4733333333333327
2020-10-01 01:14:00,3.4583333333333335
2020-10-01 01:15:00,3.4466666666666668
2020-10-01 01:16:00,3.4250000000000007
2020-10-01 01:17:00,3.4
2020-10-01 01:18:00,3.4008333333333325
2020-10-01 01:19:00,3.404999999999999
2020-10-01 01:20:00,3.4075
2020-10-01 01:21:00,3.3983333333333334
2020-10-01 01:22:00,3.3874999999999997
2020-10-01 01:23:00,3.3633333333333333
2020-10-01 01:24:00,3.375833333333334
2020-10-01 01:25:00,3.379166666666667
2020-10-01 01:26:00,3.3766666666666665
2020-10-01 01:27:00,3.3849999999999993
2020-10-01 01:28:00,3.376666666666667
2020-10-01 01:29:00,3.4175000000000004
2020-10-01 01:30:00,3.4325000000000006
2020-10-01 01:31:00,3.4516666666666667
2020-10-01 01:32:00,3.4475
2020-10-01 01:33:00,3.464166666666666
2020-10-01 01:34:00,3.455833333333334
2020-10-01 01:35:00,3.4616666666666673
2020-10-01 01:36:00,3.4683333333333324
2020-10-01 01:37:00,3.4625
2020-10-01 01:38:00,3.455
2020-10-01 01:39:00,3.4516666666666667
2020-10-01 01:40:00,3.4566666666666674
2020-10-01 01:41:00,3.4550000000000005
2020-10-01 01:42:00,3.458333333333334
2020-10-01 01:43:00,3.4454545454545453
2020-10-01 01:44:00,3.4699999999999993
2020-10-01 01:45:00,3.4800000000000004
2020-10-01 01:46:00,3.494166666666667
2020-10-01 01:47:00,3.494166666666666
2020-10-01 01:48:00,3.4916666666666667
2020-10-01 01:49:00,3.5033333333333325
2020-10-01 01:50:00,3.4891666666666663
2020-10-01 01:51:00,3.490833333333333
2020-10-01 01:52:00,3.5091666666666654
2020-10-01 01:53:00,3.495833333333333
2020-10-01 01:54:00,3.4958333333333336
2020-10-01 01:55:00,3.4958333333333336
2020-10-01 01:56:00,3.4975
2020-10-01 01:57:00,3.481666666666667
2020-10-01 01:58:00,3.455833333333333
2020-10-01 01:59:00,3.4666666666666663
2020-10-01 02:00:00,3.4599999999999995
2020-10-01 02:01:00,3.4683333333333333
2020-10-01 02:02:00,3.4775000000000005
2020-10-01 02:03:00,3.4933333333333336
2020-10-01 02:04:00,3.4990909090909086
2020-10-01 02:05:00,3.4975
2020-10-01 02:06:00,3.504166666666666
2020-10-01 02:07:00,3.518333333333333
2020-10-01 02:08:00,3.518333333333333
2020-10-01 02:09:00,3.5049999999999994
2020-10-01 02:10:00,3.478333333333333
2020-10-01 02:11:00,3.445833333333334
