time,SteamPipelineOP.electricity_power_ext_opt
2020-12-01 18:00:00,2.2479655378248986
2020-12-01 18:01:00,2.2479655378248986
2020-12-01 18:02:00,2.2479655378248986
2020-12-01 18:03:00,2.2479655378248986
2020-12-01 18:04:00,2.773358884756854
2020-12-01 18:05:00,2.773358884756854
2020-12-01 18:06:00,2.773358884756854
2020-12-01 18:07:00,2.773358884756854
2020-12-01 18:08:00,2.773358884756854
2020-12-01 18:09:00,0.4548123392448872
2020-12-01 18:10:00,0.4548123392448872
2020-12-01 18:11:00,0.4548123392448872
2020-12-01 18:12:00,0.4548123392448872
2020-12-01 18:13:00,0.4548123392448872
2020-12-01 18:14:00,2.6045694208467367
2020-12-01 18:15:00,2.6045694208467367
2020-12-01 18:16:00,2.6045694208467367
2020-12-01 18:17:00,2.6045694208467367
2020-12-01 18:18:00,2.6045694208467367
2020-12-01 18:19:00,4.034728983432263
2020-12-01 18:20:00,4.034728983432263
2020-12-01 18:21:00,4.034728983432263
2020-12-01 18:22:00,4.034728983432263
2020-12-01 18:23:00,4.034728983432263
2020-12-01 18:24:00,2.8993856193800034
2020-12-01 18:25:00,2.8993856193800034
2020-12-01 18:26:00,2.8993856193800034
2020-12-01 18:27:00,2.8993856193800034
2020-12-01 18:28:00,2.8993856193800034
2020-12-01 18:29:00,4.372684558466318
2020-12-01 18:30:00,4.372684558466318
2020-12-01 18:31:00,4.372684558466318
2020-12-01 18:32:00,4.372684558466318
2020-12-01 18:33:00,4.372684558466318
2020-12-01 18:34:00,4.068197567328111
2020-12-01 18:35:00,4.068197567328111
2020-12-01 18:36:00,4.068197567328111
2020-12-01 18:37:00,4.068197567328111
2020-12-01 18:38:00,4.068197567328111
2020-12-01 18:39:00,1.910387300505696
2020-12-01 18:40:00,1.910387300505696
2020-12-01 18:41:00,1.910387300505696
2020-12-01 18:42:00,1.910387300505696
2020-12-01 18:43:00,1.910387300505696
2020-12-01 18:44:00,1.9049310499007093
2020-12-01 18:45:00,1.9049310499007093
2020-12-01 18:46:00,1.9049310499007093
2020-12-01 18:47:00,1.9049310499007093
2020-12-01 18:48:00,1.9049310499007093
2020-12-01 18:49:00,3.5653841758320404
2020-12-01 18:50:00,3.5653841758320404
2020-12-01 18:51:00,3.5653841758320404
2020-12-01 18:52:00,3.5653841758320404
2020-12-01 18:53:00,3.5653841758320404
2020-12-01 18:54:00,3.858987183570668
2020-12-01 18:55:00,3.858987183570668
2020-12-01 18:56:00,3.858987183570668
2020-12-01 18:57:00,3.858987183570668
2020-12-01 18:58:00,3.858987183570668
2020-12-01 18:59:00,4.353579665579971
2020-12-01 19:00:00,4.353579665579971
2020-12-01 19:01:00,4.353579665579971
2020-12-01 19:02:00,4.353579665579971
2020-12-01 19:03:00,4.353579665579971
2020-12-01 19:04:00,0.07891020356330658
2020-12-01 19:05:00,0.07891020356330658
2020-12-01 19:06:00,0.07891020356330658
2020-12-01 19:07:00,0.07891020356330658
2020-12-01 19:08:00,0.07891020356330658
2020-12-01 19:09:00,4.712542923071661
2020-12-01 19:10:00,4.712542923071661
2020-12-01 19:11:00,4.712542923071661
2020-12-01 19:12:00,4.712542923071661
2020-12-01 19:13:00,4.712542923071661
2020-12-01 19:14:00,4.3565891755412585
2020-12-01 19:15:00,4.3565891755412585
2020-12-01 19:16:00,4.3565891755412585
2020-12-01 19:17:00,4.3565891755412585
2020-12-01 19:18:00,4.3565891755412585
2020-12-01 19:19:00,0.09256774878633378
2020-12-01 19:20:00,0.09256774878633378
2020-12-01 19:21:00,0.09256774878633378
2020-12-01 19:22:00,0.09256774878633378
2020-12-01 19:23:00,0.09256774878633378
2020-12-01 19:24:00,0.3405566035917319
2020-12-01 19:25:00,0.3405566035917319
2020-12-01 19:26:00,0.3405566035917319
2020-12-01 19:27:00,0.3405566035917319
2020-12-01 19:28:00,0.3405566035917319
2020-12-01 19:29:00,0.4452945813554281
2020-12-01 19:30:00,0.4452945813554281
2020-12-01 19:31:00,0.4452945813554281
2020-12-01 19:32:00,0.4452945813554281
2020-12-01 19:33:00,0.4452945813554281
2020-12-01 19:34:00,0.8000011792823413
2020-12-01 19:35:00,0.8000011792823413
2020-12-01 19:36:00,0.8000011792823413
2020-12-01 19:37:00,0.8000011792823413
2020-12-01 19:38:00,0.8000011792823413
2020-12-01 19:39:00,0.6752011173752056
2020-12-01 19:40:00,0.6752011173752056
2020-12-01 19:41:00,0.6752011173752056
2020-12-01 19:42:00,0.6752011173752056
2020-12-01 19:43:00,0.6752011173752056
2020-12-01 19:44:00,0.13930485368325707
2020-12-01 19:45:00,0.13930485368325707
2020-12-01 19:46:00,0.13930485368325707
2020-12-01 19:47:00,0.13930485368325707
2020-12-01 19:48:00,0.13930485368325707
2020-12-01 19:49:00,0.6725365665517361
2020-12-01 19:50:00,0.6725365665517361
2020-12-01 19:51:00,0.6725365665517361
2020-12-01 19:52:00,0.6725365665517361
2020-12-01 19:53:00,0.6725365665517361
2020-12-01 19:54:00,2.0235383546114036
2020-12-01 19:55:00,2.0235383546114036
2020-12-01 19:56:00,2.0235383546114036
2020-12-01 19:57:00,2.0235383546114036
2020-12-01 19:58:00,2.0235383546114036
2020-12-01 19:59:00,2.041052692068782
2020-12-01 20:00:00,2.041052692068782
2020-12-01 20:01:00,2.041052692068782
2020-12-01 20:02:00,2.041052692068782
2020-12-01 20:03:00,2.041052692068782
2020-12-01 20:04:00,1.2504207890473913
2020-12-01 20:05:00,1.2504207890473913
2020-12-01 20:06:00,1.2504207890473913
2020-12-01 20:07:00,1.2504207890473913
