time,BackPresTurbineOP.electricity_generation,BackPresTurbineOP.steam_flow_in
2020-12-06 19:00:00,1.585,36.88333333333334
2020-12-06 19:01:00,1.5808333333333333,36.84916666666667
2020-12-06 19:02:00,1.5874999999999997,37.0075
2020-12-06 19:03:00,1.6016666666666666,37.31333333333333
2020-12-06 19:04:00,1.5975,37.3
2020-12-06 19:05:00,1.5916666666666668,37.34833333333333
2020-12-06 19:06:00,1.5783333333333334,36.86166666666667
2020-12-06 19:07:00,1.559166666666667,36.63
2020-12-06 19:08:00,1.5708333333333335,37.13916666666666
2020-12-06 19:09:00,1.5899999999999999,37.14416666666666
2020-12-06 19:10:00,1.5650000000000002,36.77250000000001
2020-12-06 19:11:00,1.5633333333333335,36.775
2020-12-06 19:12:00,1.5733333333333335,37.12583333333334
2020-12-06 19:13:00,1.5766666666666669,37.282500000000006
2020-12-06 19:14:00,1.5983333333333336,37.97916666666667
2020-12-06 19:15:00,1.5983333333333334,37.859166666666674
2020-12-06 19:16:00,1.6166666666666665,38.3225
2020-12-06 19:17:00,1.6208333333333333,38.16583333333333
2020-12-06 19:18:00,1.6033333333333335,37.54750000000001
2020-12-06 19:19:00,1.5958333333333332,37.264166666666675
2020-12-06 19:20:00,1.6841666666666664,37.9925
2020-12-06 19:21:00,1.7750000000000001,39.91833333333333
2020-12-06 19:22:00,1.8608333333333336,42.100833333333334
2020-12-06 19:23:00,1.915,43.705000000000005
2020-12-06 19:24:00,1.9499999999999995,44.54749999999999
2020-12-06 19:25:00,1.9566666666666668,44.99333333333332
2020-12-06 19:26:00,1.91,44.2175
2020-12-06 19:27:00,1.8683333333333334,43.29583333333334
2020-12-06 19:28:00,1.8458333333333332,42.70583333333334
2020-12-06 19:29:00,1.8341666666666667,42.10916666666667
2020-12-06 19:30:00,1.845,42.36333333333334
2020-12-06 19:31:00,1.844166666666667,42.16333333333333
2020-12-06 19:32:00,1.8375000000000004,42.03333333333334
2020-12-06 19:33:00,1.8441666666666663,42.08833333333334
2020-12-06 19:34:00,1.844166666666667,42.14416666666667
2020-12-06 19:35:00,1.843333333333333,42.07
2020-12-06 19:36:00,1.8550000000000002,42.317499999999995
2020-12-06 19:37:00,1.8441666666666665,42.093333333333334
2020-12-06 19:38:00,1.8374999999999997,41.605
2020-12-06 19:39:00,1.8224999999999998,41.361666666666665
2020-12-06 19:40:00,1.83,41.589166666666664
2020-12-06 19:41:00,1.8366666666666667,41.73500000000001
2020-12-06 19:42:00,1.8425000000000002,41.88833333333334
2020-12-06 19:43:00,1.845,41.589999999999996
2020-12-06 19:44:00,1.825,41.178333333333335
2020-12-06 19:45:00,1.8399999999999999,41.574999999999996
2020-12-06 19:46:00,1.8350000000000002,41.4075
2020-12-06 19:47:00,1.8316666666666663,40.84
2020-12-06 19:48:00,1.8124999999999998,40.184999999999995
2020-12-06 19:49:00,1.7966666666666666,39.69583333333333
2020-12-06 19:50:00,1.7975,40.0375
2020-12-06 19:51:00,1.83,40.80499999999999
2020-12-06 19:52:00,1.828333333333333,40.45333333333333
2020-12-06 19:53:00,1.8341666666666663,40.60583333333333
2020-12-06 19:54:00,1.8241666666666667,40.423333333333325
2020-12-06 19:55:00,1.8375000000000004,40.80416666666667
2020-12-06 19:56:00,1.8499999999999999,40.99916666666667
2020-12-06 19:57:00,1.8349999999999997,40.324999999999996
2020-12-06 19:58:00,1.8233333333333333,39.70250000000001
2020-12-06 19:59:00,1.8058333333333334,39.24583333333334
2020-12-06 20:00:00,1.825,39.7275
2020-12-06 20:01:00,1.820833333333333,39.38166666666667
2020-12-06 20:02:00,1.82,39.27416666666667
2020-12-06 20:03:00,1.8325000000000002,39.7075
2020-12-06 20:04:00,1.8824999999999996,40.89416666666667
2020-12-06 20:05:00,1.9175000000000002,41.9575
2020-12-06 20:06:00,1.93,42.06833333333334
2020-12-06 20:07:00,1.924166666666667,42.71083333333333
2020-12-06 20:08:00,1.9124999999999999,42.88166666666666
2020-12-06 20:09:00,1.9150000000000003,43.48666666666667
2020-12-06 20:10:00,1.915,44.245000000000005
2020-12-06 20:11:00,1.964166666666667,45.1275
2020-12-06 20:12:00,1.935833333333333,44.556666666666665
2020-12-06 20:13:00,1.9508333333333334,45.014166666666675
2020-12-06 20:14:00,1.9533333333333331,44.845
2020-12-06 20:15:00,1.9708333333333334,45.25916666666666
2020-12-06 20:16:00,1.9666666666666668,45.01
2020-12-06 20:17:00,1.9841666666666666,45.45416666666667
2020-12-06 20:18:00,1.9941666666666666,45.41916666666666
2020-12-06 20:19:00,1.9941666666666666,45.32500000000001
2020-12-06 20:20:00,1.9949999999999999,44.865833333333335
2020-12-06 20:21:00,1.968333333333333,44.3225
2020-12-06 20:22:00,1.9933333333333334,44.839999999999996
2020-12-06 20:23:00,2.0041666666666664,45.00583333333333
2020-12-06 20:24:00,2.008333333333333,45.07500000000001
2020-12-06 20:25:00,1.9891666666666665,44.553333333333335
2020-12-06 20:26:00,1.9924999999999997,44.445833333333326
2020-12-06 20:27:00,1.9758333333333338,44.054166666666674
2020-12-06 20:28:00,1.9883333333333333,43.96
2020-12-06 20:29:00,1.9658333333333335,43.52333333333333
2020-12-06 20:30:00,1.9441666666666668,43.55500000000001
2020-12-06 20:31:00,1.9458333333333335,44.18083333333333
2020-12-06 20:32:00,1.9525,44.61833333333333
2020-12-06 20:33:00,1.9324999999999999,44.35416666666666
2020-12-06 20:34:00,1.9308333333333332,44.61500000000001
2020-12-06 20:35:00,1.9441666666666668,44.82666666666666
2020-12-06 20:36:00,1.9375,44.615
