,CFBoilerOP.hp_steam_boiler_opt
2020-08-10 00:03:00,72.16634180791105
2020-08-10 00:11:00,56.39826977401287
2020-08-10 00:19:00,70.0
2020-08-10 00:27:00,62.18105932203307
2020-08-10 00:35:00,58.86263064971691
2020-08-10 00:43:00,70.0
2020-08-10 00:51:00,55.0
2020-08-10 00:59:00,57.54835098870176
2020-08-10 01:07:00,70.0
2020-08-10 01:15:00,70.0
2020-08-10 01:23:00,68.65295903954794
2020-08-10 01:31:00,58.33116525423833
2020-08-10 01:39:00,69.74166666666667
2020-08-10 01:47:00,57.32901129943545
2020-08-10 01:55:00,57.43913135593099
2020-08-10 02:03:00,63.06038488700648
2020-08-10 02:11:00,57.50513418079142
2020-08-10 02:19:00,70.0
2020-08-10 02:27:00,70.0
2020-08-10 02:35:00,70.0
2020-08-10 02:43:00,70.0
2020-08-10 02:51:00,70.0
2020-08-10 02:59:00,70.0
2020-08-10 03:07:00,70.0
2020-08-10 03:15:00,70.0
2020-08-10 03:23:00,70.0
2020-08-10 03:31:00,70.0
2020-08-10 03:39:00,70.0
2020-08-10 03:47:00,70.0
2020-08-10 03:55:00,70.0
2020-08-10 04:03:00,70.0
2020-08-10 04:11:00,70.0
2020-08-10 04:19:00,70.0
2020-08-10 04:27:00,70.0
2020-08-10 04:35:00,70.0
2020-08-10 04:43:00,70.0
2020-08-10 04:51:00,70.0
2020-08-10 04:59:00,70.0
2020-08-10 05:07:00,70.0
2020-08-10 05:15:00,70.0
2020-08-10 05:23:00,70.0
2020-08-10 05:31:00,70.0
2020-08-10 05:39:00,70.0
2020-08-10 05:47:00,70.0
2020-08-10 05:55:00,70.0
2020-08-10 06:03:00,69.41032132768423
2020-08-10 06:11:00,70.0
2020-08-10 06:19:00,70.0
2020-08-10 06:27:00,70.0
2020-08-10 06:35:00,70.0
2020-08-10 06:43:00,70.0
2020-08-10 06:51:00,70.0
2020-08-10 06:59:00,70.0
2020-08-10 07:07:00,70.0
2020-08-10 07:15:00,70.0
2020-08-10 07:23:00,69.34988700564963
2020-08-10 07:31:00,70.0
2020-08-10 07:39:00,70.0
2020-08-10 07:47:00,68.4957697744101
2020-08-10 07:55:00,69.87500000002206
2020-08-10 08:03:00,74.7
2020-08-10 08:11:00,72.61018714689293
2020-08-10 08:19:00,75.10999999999713
2020-08-10 08:27:00,76.90833333333332
2020-08-10 08:35:00,78.11666666666667
2020-08-10 08:43:00,79.87499999999999
2020-08-10 08:51:00,80.0
2020-08-10 08:59:00,80.0
2020-08-10 09:07:00,79.24166666666666
2020-08-10 09:15:00,70.5299999996868
2020-08-10 09:23:00,80.0
2020-08-10 09:31:00,78.82333333321255
2020-08-10 09:39:00,78.4500000001224
2020-08-10 09:47:00,71.00166666664448
2020-08-10 09:55:00,80.0
2020-08-10 10:03:00,71.90000000006303
2020-08-10 10:11:00,80.0
2020-08-10 10:19:00,80.0
2020-08-10 10:27:00,74.49249999983894
2020-08-10 10:35:00,76.23166666650866
2020-08-10 10:43:00,78.97500000000001
2020-08-10 10:51:00,79.49166666666666
2020-08-10 10:59:00,70.87450248769113
2020-08-10 11:07:00,80.0
2020-08-10 11:15:00,76.8
2020-08-10 11:23:00,76.68771186424758
2020-08-10 11:31:00,78.6
2020-08-10 11:39:00,78.01000000002234
2020-08-10 11:47:00,80.0
2020-08-10 11:55:00,79.27999999996487
2020-08-10 12:03:00,79.7
2020-08-10 12:11:00,79.2
2020-08-10 12:19:00,70.10000000000588
2020-08-10 12:27:00,77.02999999998971
2020-08-10 12:35:00,78.9
2020-08-10 12:43:00,71.04000000000907
2020-08-10 12:51:00,79.4
2020-08-10 12:59:00,72.28833333332061
2020-08-10 13:07:00,78.0
2020-08-10 13:15:00,78.9
2020-08-10 13:23:00,77.89999999999999
2020-08-10 13:31:00,78.8
2020-08-10 13:39:00,78.70833333333333
2020-08-10 13:47:00,79.68583333333606
2020-08-10 13:55:00,72.69166666666376
2020-08-10 14:03:00,78.0
2020-08-10 14:11:00,72.48333333333362
2020-08-10 14:19:00,74.62999999999961
2020-08-10 14:27:00,77.60749999999821
2020-08-10 14:35:00,78.6
2020-08-10 14:43:00,78.5
2020-08-10 14:51:00,75.15750000000372
2020-08-10 14:59:00,77.8
2020-08-10 15:07:00,80.0
2020-08-10 15:15:00,78.58105932203883
2020-08-10 15:23:00,79.5
2020-08-10 15:31:00,78.8991666666613
2020-08-10 15:39:00,79.99166666666667
2020-08-10 15:47:00,78.20833333333333
2020-08-10 15:55:00,79.3
2020-08-10 16:03:00,78.85
2020-08-10 16:11:00,79.48499999999598
2020-08-10 16:19:00,78.36666666666666
2020-08-10 16:27:00,72.39333333335321
2020-08-10 16:35:00,77.1
2020-08-10 16:42:00,78.3909090909091
2020-08-10 16:43:00,70.0
2020-08-10 16:51:00,71.66999999999514
2020-08-10 16:59:00,70.86000000000651
2020-08-10 17:07:00,70.15000000000114
2020-08-10 17:15:00,72.12999999999272
2020-08-10 17:23:00,73.9425000000142
2020-08-10 17:31:00,80.0
2020-08-10 17:39:00,78.46916666666974
2020-08-10 17:47:00,78.76166666666857
2020-08-10 17:55:00,76.9175000000089
2020-08-10 18:03:00,75.72166666667775
2020-08-10 18:11:00,79.1
2020-08-10 18:19:00,78.5
2020-08-10 18:27:00,80.0
2020-08-10 18:35:00,80.0
2020-08-10 18:43:00,80.0
2020-08-10 18:51:00,79.3
2020-08-10 18:59:00,80.0
2020-08-10 19:07:00,74.58999999979808
2020-08-10 19:15:00,74.47999999994714
2020-08-10 19:23:00,73.29999999982441
2020-08-10 19:31:00,79.33999999989074
2020-08-10 19:39:00,77.81999999982398
2020-08-10 19:47:00,78.7
2020-08-10 19:55:00,79.6900000000369
2020-08-10 20:03:00,78.1
2020-08-10 20:11:00,80.0
2020-08-10 20:19:00,77.5400000001303
2020-08-10 20:27:00,79.06749999971521
2020-08-10 20:35:00,79.5
2020-08-10 20:43:00,80.0
2020-08-10 20:51:00,72.30499999995801
2020-08-10 20:59:00,79.25
2020-08-10 21:07:00,73.69083333345422
2020-08-10 21:15:00,80.0
2020-08-10 21:23:00,78.00000000000001
2020-08-10 21:31:00,77.17666666667343
2020-08-10 21:39:00,80.0
2020-08-10 21:47:00,75.97166666665575
2020-08-10 21:55:00,77.5
2020-08-10 22:03:00,78.3
2020-08-10 22:11:00,70.0
2020-08-10 22:19:00,78.5
2020-08-10 22:27:00,71.42999999998976
2020-08-10 22:35:00,72.55000000000508
2020-08-10 22:43:00,78.3
2020-08-10 22:51:00,78.38999999999896
2020-08-10 22:59:00,79.39999999999999
2020-08-10 23:07:00,77.17999999999596
2020-08-10 23:15:00,70.99000000000034
2020-08-10 23:23:00,79.71833333333947
2020-08-10 23:31:00,77.8
2020-08-10 23:39:00,78.08333333333333
2020-08-10 23:47:00,78.075
2020-08-10 23:55:00,80.0
2020-08-11 00:03:00,70.0
2020-08-11 00:11:00,70.0
2020-08-11 00:19:00,70.0
2020-08-11 00:27:00,70.0
2020-08-11 00:35:00,70.0
2020-08-11 00:43:00,70.0
2020-08-11 00:51:00,70.0
