,CFBoilerOP.hp_steam_boiler_opt
2020-08-10 18:35:00,80.0
2020-08-10 18:43:00,79.60416666666302
2020-08-10 18:51:00,79.91583333333466
2020-08-10 18:59:00,80.0
2020-08-10 19:07:00,77.3
2020-08-10 19:15:00,77.2
2020-08-10 19:23:00,77.0
2020-08-10 19:31:00,80.0
2020-08-10 19:39:00,80.0
2020-08-10 19:47:00,79.14000000015031
2020-08-10 19:55:00,80.0
2020-08-10 20:03:00,79.2399999999278
2020-08-10 20:11:00,77.68000000007305
2020-08-10 20:19:00,80.0
2020-08-10 20:27:00,78.2
2020-08-10 20:35:00,78.34999999988717
2020-08-10 20:43:00,70.21333333310331
2020-08-10 20:51:00,78.8
2020-08-10 20:59:00,71.8725000001112
2020-08-10 21:07:00,76.7
2020-08-10 21:15:00,80.0
2020-08-10 21:23:00,78.49333333331201
2020-08-10 21:31:00,80.0
2020-08-10 21:39:00,78.42583333345917
2020-08-10 21:47:00,79.2
2020-08-10 21:55:00,79.70083333330639
2020-08-10 22:03:00,79.41666666666669
2020-08-10 22:11:00,78.28333333333518
2020-08-10 22:19:00,79.58000000000595
2020-08-10 22:27:00,78.7
2020-08-10 22:35:00,77.9
2020-08-10 22:43:00,72.07000000000824
2020-08-10 22:51:00,80.0
2020-08-10 22:59:00,80.0
2020-08-10 23:07:00,80.0
2020-08-10 23:15:00,78.0
2020-08-10 23:23:00,76.91666666666667
2020-08-10 23:31:00,79.95833333333486
2020-08-10 23:39:00,79.2141666666654
2020-08-10 23:47:00,77.69166666666496
2020-08-10 23:55:00,76.83999999999843
2020-08-11 00:03:00,64.52330861581939
2020-08-11 00:11:00,63.33558968926519
2020-08-11 00:19:00,63.66770833333371
2020-08-11 00:27:00,56.38646539548026
2020-08-11 00:35:00,66.98073093220225
2020-08-11 00:43:00,64.79999999998876
2020-08-11 00:51:00,59.34238700572625
2020-08-11 00:59:00,59.60000000000487
2020-08-11 01:07:00,59.0040501412425
2020-08-11 01:15:00,62.87536723163829
2020-08-11 01:23:00,69.73474223163953
2020-08-11 01:31:00,68.23325918079149
2020-08-11 01:39:00,70.0
2020-08-11 01:47:00,64.9823622881349
2020-08-11 01:55:00,69.33571327683504
2020-08-11 02:03:00,70.0
2020-08-11 02:11:00,65.65055084745813
2020-08-11 02:19:00,66.56542372881397
2020-08-11 02:27:00,70.0
2020-08-11 02:35:00,70.0
2020-08-11 02:43:00,63.879110169492094
2020-08-11 02:51:00,66.95864406779772
2020-08-11 02:59:00,69.47944915254263
2020-08-11 03:07:00,65.50953389830465
2020-08-11 03:15:00,67.88399717514142
2020-08-11 03:23:00,63.20550847457622
